funcid,dim,milestone,error
5,30,1,1.367354e+02
5,30,2,1.127994e+02
5,30,3,1.105882e+02
5,30,5,1.105882e+02
5,30,10,1.070539e+02
5,30,20,1.035722e+02
5,30,30,1.031712e+02
5,30,40,1.031279e+02
5,30,50,1.024045e+02
5,30,60,1.021984e+02
5,30,70,1.021963e+02
5,30,80,1.021288e+02
5,30,90,1.021283e+02
5,30,100,1.021265e+02
5,30,1,1.456283e+02
5,30,2,1.212151e+02
5,30,3,1.138657e+02
5,30,5,1.138657e+02
5,30,10,9.267995e+01
5,30,20,9.033261e+01
5,30,30,8.976686e+01
5,30,40,8.966926e+01
5,30,50,8.884235e+01
5,30,60,8.860270e+01
5,30,70,8.856469e+01
5,30,80,8.855983e+01
5,30,90,8.855968e+01
5,30,100,8.855443e+01
5,30,1,1.360925e+02
5,30,2,1.194781e+02
5,30,3,1.157907e+02
5,30,5,1.157907e+02
5,30,10,9.209501e+01
5,30,20,7.865082e+01
5,30,30,7.828880e+01
5,30,40,7.492182e+01
5,30,50,6.834397e+01
5,30,60,6.787503e+01
5,30,70,6.743908e+01
5,30,80,6.708447e+01
5,30,90,6.707932e+01
5,30,100,6.584128e+01
5,30,1,1.193468e+02
5,30,2,9.381684e+01
5,30,3,9.163147e+01
5,30,5,9.163147e+01
5,30,10,8.098391e+01
5,30,20,7.630992e+01
5,30,30,7.482692e+01
5,30,40,7.250751e+01
5,30,50,7.250254e+01
5,30,60,7.230974e+01
5,30,70,7.174308e+01
5,30,80,7.169720e+01
5,30,90,7.164304e+01
5,30,100,7.164096e+01
5,30,1,2.308663e+02
5,30,2,2.103586e+02
5,30,3,2.082061e+02
5,30,5,2.082061e+02
5,30,10,1.825693e+02
5,30,20,1.629046e+02
5,30,30,1.282475e+02
5,30,40,1.247055e+02
5,30,50,1.242160e+02
5,30,60,1.240514e+02
5,30,70,1.229715e+02
5,30,80,1.225798e+02
5,30,90,1.206522e+02
5,30,100,1.204276e+02
5,30,1,1.863049e+02
5,30,2,1.140298e+02
5,30,3,1.122524e+02
5,30,5,1.122524e+02
5,30,10,1.091170e+02
5,30,20,9.244463e+01
5,30,30,9.186813e+01
5,30,40,9.106685e+01
5,30,50,9.106438e+01
5,30,60,9.091150e+01
5,30,70,9.072133e+01
5,30,80,9.054876e+01
5,30,90,9.054411e+01
5,30,100,9.054254e+01
5,30,1,1.712366e+02
5,30,2,1.267139e+02
5,30,3,1.208834e+02
5,30,5,1.208834e+02
5,30,10,1.114611e+02
5,30,20,1.077227e+02
5,30,30,1.064726e+02
5,30,40,1.016802e+02
5,30,50,1.014710e+02
5,30,60,1.013958e+02
5,30,70,8.569235e+01
5,30,80,8.569139e+01
5,30,90,8.566626e+01
5,30,100,6.795153e+01
5,30,1,2.445594e+02
5,30,2,2.217802e+02
5,30,3,2.208764e+02
5,30,5,2.208764e+02
5,30,10,2.016641e+02
5,30,20,1.642193e+02
5,30,30,1.382308e+02
5,30,40,1.374793e+02
5,30,50,1.368285e+02
5,30,60,1.342974e+02
5,30,70,1.337644e+02
5,30,80,1.302674e+02
5,30,90,1.302350e+02
5,30,100,1.296775e+02
5,30,1,1.701176e+02
5,30,2,1.519700e+02
5,30,3,1.512261e+02
5,30,5,1.512261e+02
5,30,10,1.403755e+02
5,30,20,1.276662e+02
5,30,30,1.275831e+02
5,30,40,1.259458e+02
5,30,50,1.195294e+02
5,30,60,1.137684e+02
5,30,70,1.116338e+02
5,30,80,1.111100e+02
5,30,90,1.108363e+02
5,30,100,1.104853e+02
5,30,1,1.067491e+02
5,30,2,8.961495e+01
5,30,3,8.752376e+01
5,30,5,8.752376e+01
5,30,10,7.365213e+01
5,30,20,6.876751e+01
5,30,30,6.502900e+01
5,30,40,6.417607e+01
5,30,50,6.410930e+01
5,30,60,6.410783e+01
5,30,70,6.274549e+01
5,30,80,6.274290e+01
5,30,90,6.274256e+01
5,30,100,6.269231e+01
