funcid,dim,milestone,error
19,10,1,3.956726e+05
19,10,2,7.622563e+04
19,10,3,7.622563e+04
19,10,5,7.491521e+04
19,10,10,2.121733e+04
19,10,20,2.188932e+03
19,10,30,1.991264e+03
19,10,40,1.991264e+03
19,10,50,1.305080e+03
19,10,60,1.305080e+03
19,10,70,1.235962e+03
19,10,80,1.235962e+03
19,10,90,1.233275e+03
19,10,100,1.233275e+03
19,10,1,3.239640e+05
19,10,2,9.848506e+04
19,10,3,9.848506e+04
19,10,5,9.848506e+04
19,10,10,8.595934e+03
19,10,20,8.595934e+03
19,10,30,8.595924e+03
19,10,40,8.595909e+03
19,10,50,8.595909e+03
19,10,60,7.355004e+03
19,10,70,7.355004e+03
19,10,80,7.355004e+03
19,10,90,7.354537e+03
19,10,100,7.354537e+03
19,10,1,4.919315e+04
19,10,2,4.919315e+04
19,10,3,4.919315e+04
19,10,5,4.919315e+04
19,10,10,4.367180e+04
19,10,20,2.504905e+03
19,10,30,1.555640e+03
19,10,40,8.060465e+02
19,10,50,8.060465e+02
19,10,60,8.060465e+02
19,10,70,8.060465e+02
19,10,80,8.060465e+02
19,10,90,8.060465e+02
19,10,100,8.060431e+02
19,10,1,4.102174e+06
19,10,2,1.324848e+06
19,10,3,3.768985e+05
19,10,5,3.768985e+05
19,10,10,2.903621e+04
19,10,20,2.903621e+04
19,10,30,2.778043e+04
19,10,40,1.070021e+04
19,10,50,1.070021e+04
19,10,60,2.518775e+03
19,10,70,2.518721e+03
19,10,80,2.517403e+03
19,10,90,2.517403e+03
19,10,100,2.517403e+03
19,10,1,4.255571e+04
19,10,2,3.190409e+04
19,10,3,6.562882e+03
19,10,5,4.611687e+03
19,10,10,4.611687e+03
19,10,20,2.317696e+03
19,10,30,2.317696e+03
19,10,40,2.316873e+03
19,10,50,2.316873e+03
19,10,60,2.316873e+03
19,10,70,2.316791e+03
19,10,80,9.300190e+02
19,10,90,9.292035e+02
19,10,100,9.292035e+02
19,10,1,7.278399e+05
19,10,2,4.079467e+05
19,10,3,3.546432e+04
19,10,5,3.546432e+04
19,10,10,3.045710e+04
19,10,20,1.261326e+04
19,10,30,1.049851e+04
19,10,40,4.317927e+03
19,10,50,2.981407e+03
19,10,60,2.979415e+03
19,10,70,2.979415e+03
19,10,80,2.979415e+03
19,10,90,1.083732e+03
19,10,100,1.083732e+03
19,10,1,1.640417e+05
19,10,2,2.258711e+04
19,10,3,1.285979e+04
19,10,5,1.285979e+04
19,10,10,1.285979e+04
19,10,20,1.131930e+04
19,10,30,1.053394e+04
19,10,40,7.983760e+02
19,10,50,7.983760e+02
19,10,60,7.983760e+02
19,10,70,7.960674e+02
19,10,80,7.960674e+02
19,10,90,7.960674e+02
19,10,100,7.960674e+02
19,10,1,3.334082e+05
19,10,2,4.990574e+03
19,10,3,4.990574e+03
19,10,5,4.990574e+03
19,10,10,4.395157e+03
19,10,20,4.395157e+03
19,10,30,4.372843e+03
19,10,40,4.372834e+03
19,10,50,4.372834e+03
19,10,60,4.372834e+03
19,10,70,4.372825e+03
19,10,80,4.372825e+03
19,10,90,4.371132e+03
19,10,100,4.371118e+03
19,10,1,8.984132e+03
19,10,2,8.984132e+03
19,10,3,8.984132e+03
19,10,5,8.984132e+03
19,10,10,8.984132e+03
19,10,20,8.481664e+03
19,10,30,4.187303e+03
19,10,40,4.187303e+03
19,10,50,4.187303e+03
19,10,60,4.187303e+03
19,10,70,2.452453e+03
19,10,80,2.452453e+03
19,10,90,2.452449e+03
19,10,100,1.898205e+02
19,10,1,1.445089e+05
19,10,2,9.712782e+04
19,10,3,9.712782e+04
19,10,5,9.712782e+04
19,10,10,3.448445e+03
19,10,20,3.439455e+03
19,10,30,1.304811e+03
19,10,40,1.249648e+03
19,10,50,1.249648e+03
19,10,60,1.249648e+03
19,10,70,1.249414e+03
19,10,80,1.249414e+03
19,10,90,1.247796e+03
19,10,100,1.247796e+03
