funcid,dim,milestone,error
14,10,1,3.735866e+03
14,10,2,3.735866e+03
14,10,3,3.735866e+03
14,10,5,3.735866e+03
14,10,10,2.008378e+03
14,10,20,2.042693e+02
14,10,30,2.042693e+02
14,10,40,2.042693e+02
14,10,50,2.042693e+02
14,10,60,2.042693e+02
14,10,70,2.042693e+02
14,10,80,2.042693e+02
14,10,90,2.042693e+02
14,10,100,2.007727e+02
14,10,1,3.742721e+03
14,10,2,3.742721e+03
14,10,3,3.742721e+03
14,10,5,1.488971e+03
14,10,10,1.488971e+03
14,10,20,7.664172e+02
14,10,30,3.472001e+02
14,10,40,3.472001e+02
14,10,50,3.472001e+02
14,10,60,3.324422e+02
14,10,70,2.327933e+02
14,10,80,2.327933e+02
14,10,90,2.327933e+02
14,10,100,2.327933e+02
14,10,1,5.268113e+04
14,10,2,2.885359e+03
14,10,3,2.885359e+03
14,10,5,2.299403e+02
14,10,10,2.299403e+02
14,10,20,2.299403e+02
14,10,30,2.299403e+02
14,10,40,1.967951e+02
14,10,50,1.967951e+02
14,10,60,1.967951e+02
14,10,70,1.261259e+02
14,10,80,1.106625e+02
14,10,90,9.548746e+01
14,10,100,9.548746e+01
14,10,1,1.788847e+04
14,10,2,9.853676e+02
14,10,3,9.853676e+02
14,10,5,9.853676e+02
14,10,10,9.853676e+02
14,10,20,7.016690e+02
14,10,30,1.207223e+02
14,10,40,1.153795e+02
14,10,50,1.153795e+02
14,10,60,1.153795e+02
14,10,70,1.153795e+02
14,10,80,1.153795e+02
14,10,90,1.153795e+02
14,10,100,1.153795e+02
14,10,1,2.548034e+04
14,10,2,1.899661e+04
14,10,3,1.956349e+02
14,10,5,1.956349e+02
14,10,10,1.956349e+02
14,10,20,1.956349e+02
14,10,30,1.954962e+02
14,10,40,1.954962e+02
14,10,50,1.954962e+02
14,10,60,1.954962e+02
14,10,70,1.954962e+02
14,10,80,1.954962e+02
14,10,90,8.866213e+01
14,10,100,8.866213e+01
14,10,1,4.979070e+03
14,10,2,4.507755e+03
14,10,3,4.507755e+03
14,10,5,4.507755e+03
14,10,10,6.575292e+02
14,10,20,3.598821e+02
14,10,30,2.922086e+02
14,10,40,1.601323e+02
14,10,50,1.601323e+02
14,10,60,1.490079e+02
14,10,70,1.490079e+02
14,10,80,1.490079e+02
14,10,90,1.490079e+02
14,10,100,1.490079e+02
14,10,1,9.002776e+03
14,10,2,9.002776e+03
14,10,3,9.002776e+03
14,10,5,1.396666e+03
14,10,10,5.695993e+02
14,10,20,2.681515e+02
14,10,30,2.681515e+02
14,10,40,2.624950e+02
14,10,50,2.624950e+02
14,10,60,1.223243e+02
14,10,70,1.223243e+02
14,10,80,1.223243e+02
14,10,90,1.223243e+02
14,10,100,1.223243e+02
14,10,1,5.565028e+04
14,10,2,4.819979e+03
14,10,3,4.819979e+03
14,10,5,4.819979e+03
14,10,10,3.210979e+02
14,10,20,2.989997e+02
14,10,30,2.989997e+02
14,10,40,2.267381e+02
14,10,50,2.267381e+02
14,10,60,2.267381e+02
14,10,70,2.267381e+02
14,10,80,8.208422e+01
14,10,90,6.106305e+01
14,10,100,6.106305e+01
14,10,1,9.847685e+03
14,10,2,7.187893e+03
14,10,3,4.092196e+03
14,10,5,4.092196e+03
14,10,10,2.458973e+03
14,10,20,2.829941e+02
14,10,30,2.829941e+02
14,10,40,2.829941e+02
14,10,50,2.829941e+02
14,10,60,2.563437e+02
14,10,70,2.350576e+02
14,10,80,2.350576e+02
14,10,90,1.698221e+02
14,10,100,1.698221e+02
14,10,1,5.914382e+03
14,10,2,8.838351e+02
14,10,3,8.838351e+02
14,10,5,8.838351e+02
14,10,10,6.695134e+02
14,10,20,6.695134e+02
14,10,30,1.458907e+02
14,10,40,1.458907e+02
14,10,50,1.021866e+02
14,10,60,1.018611e+02
14,10,70,1.018611e+02
14,10,80,1.018611e+02
14,10,90,1.016975e+02
14,10,100,1.016975e+02
