funcid,dim,milestone,error
11,30,1,2.454725e+03
11,30,2,2.238555e+03
11,30,3,2.214876e+03
11,30,5,2.214876e+03
11,30,10,2.142959e+03
11,30,20,2.057717e+03
11,30,30,1.953399e+03
11,30,40,1.807337e+03
11,30,50,1.783294e+03
11,30,60,1.763078e+03
11,30,70,1.680925e+03
11,30,80,1.674395e+03
11,30,90,1.518031e+03
11,30,100,1.417323e+03
11,30,1,6.800093e+03
11,30,2,6.696514e+03
11,30,3,6.659635e+03
11,30,5,6.659635e+03
11,30,10,1.337755e+03
11,30,20,1.169823e+03
11,30,30,1.117563e+03
11,30,40,1.112308e+03
11,30,50,1.109577e+03
11,30,60,1.069156e+03
11,30,70,1.068505e+03
11,30,80,9.786138e+02
11,30,90,9.785391e+02
11,30,100,9.784691e+02
11,30,1,8.310444e+03
11,30,2,8.182656e+03
11,30,3,5.095755e+03
11,30,5,4.192237e+03
11,30,10,4.149709e+03
11,30,20,2.875678e+03
11,30,30,2.554039e+03
11,30,40,2.339834e+03
11,30,50,1.801347e+03
11,30,60,1.674726e+03
11,30,70,1.494900e+03
11,30,80,1.276302e+03
11,30,90,1.082853e+03
11,30,100,1.016253e+03
11,30,1,1.607005e+03
11,30,2,1.320035e+03
11,30,3,9.117438e+02
11,30,5,9.117438e+02
11,30,10,7.030468e+02
11,30,20,5.893958e+02
11,30,30,4.713503e+02
11,30,40,3.754242e+02
11,30,50,3.682751e+02
11,30,60,3.613174e+02
11,30,70,3.418892e+02
11,30,80,3.394479e+02
11,30,90,3.389866e+02
11,30,100,3.385090e+02
11,30,1,3.954584e+03
11,30,2,3.159409e+03
11,30,3,3.139449e+03
11,30,5,3.139449e+03
11,30,10,1.661575e+03
11,30,20,1.575188e+03
11,30,30,1.501156e+03
11,30,40,1.426010e+03
11,30,50,9.781098e+02
11,30,60,7.168408e+02
11,30,70,5.246330e+02
11,30,80,3.443281e+02
11,30,90,2.784528e+02
11,30,100,2.653517e+02
11,30,1,4.243099e+03
11,30,2,3.779939e+03
11,30,3,3.766815e+03
11,30,5,3.766815e+03
11,30,10,1.189362e+03
11,30,20,9.588614e+02
11,30,30,7.890050e+02
11,30,40,7.595595e+02
11,30,50,7.577814e+02
11,30,60,7.560512e+02
11,30,70,7.555860e+02
11,30,80,7.555512e+02
11,30,90,7.553122e+02
11,30,100,7.553118e+02
11,30,1,1.195649e+03
11,30,2,1.080335e+03
11,30,3,1.076011e+03
11,30,5,1.076011e+03
11,30,10,9.362942e+02
11,30,20,8.836759e+02
11,30,30,8.560620e+02
11,30,40,7.232552e+02
11,30,50,6.892285e+02
11,30,60,6.854977e+02
11,30,70,6.773392e+02
11,30,80,5.148332e+02
11,30,90,4.429185e+02
11,30,100,3.629300e+02
11,30,1,9.129506e+03
11,30,2,8.914881e+03
11,30,3,8.832195e+03
11,30,5,8.832195e+03
11,30,10,2.697242e+03
11,30,20,2.028844e+03
11,30,30,1.705152e+03
11,30,40,1.698562e+03
11,30,50,1.548372e+03
11,30,60,1.232054e+03
11,30,70,1.046636e+03
11,30,80,8.151586e+02
11,30,90,7.423281e+02
11,30,100,6.446673e+02
11,30,1,1.489136e+03
11,30,2,1.047339e+03
11,30,3,8.774367e+02
11,30,5,8.774367e+02
11,30,10,7.123267e+02
11,30,20,4.235893e+02
11,30,30,3.473694e+02
11,30,40,2.693476e+02
11,30,50,2.248096e+02
11,30,60,2.014255e+02
11,30,70,1.957548e+02
11,30,80,1.934357e+02
11,30,90,1.934357e+02
11,30,100,1.760689e+02
11,30,1,1.006459e+04
11,30,2,1.003133e+04
11,30,3,1.000322e+04
11,30,5,1.000322e+04
11,30,10,5.016304e+03
11,30,20,4.917282e+03
11,30,30,4.013456e+03
11,30,40,3.082486e+03
11,30,50,2.285917e+03
11,30,60,1.956385e+03
11,30,70,1.526547e+03
11,30,80,1.075490e+03
11,30,90,9.496021e+02
11,30,100,8.346779e+02
