funcid,dim,milestone,error
1,10,1,9.769127e+09
1,10,2,7.456324e+09
1,10,3,5.999417e+09
1,10,5,5.999417e+09
1,10,10,2.735516e+09
1,10,20,1.909186e+09
1,10,30,5.616296e+08
1,10,40,5.616296e+08
1,10,50,5.371447e+08
1,10,60,5.371447e+08
1,10,70,5.371447e+08
1,10,80,5.371447e+08
1,10,90,5.371447e+08
1,10,100,1.973550e+08
1,10,1,3.643070e+09
1,10,2,3.486645e+09
1,10,3,3.486645e+09
1,10,5,3.486645e+09
1,10,10,2.732093e+09
1,10,20,1.597068e+09
1,10,30,1.280573e+09
1,10,40,8.806735e+08
1,10,50,8.296263e+08
1,10,60,8.296263e+08
1,10,70,8.296263e+08
1,10,80,8.296263e+08
1,10,90,6.960691e+08
1,10,100,6.839047e+08
1,10,1,1.090183e+10
1,10,2,7.501088e+09
1,10,3,7.501088e+09
1,10,5,7.501088e+09
1,10,10,1.170407e+09
1,10,20,1.170407e+09
1,10,30,8.756804e+08
1,10,40,8.394246e+08
1,10,50,8.394246e+08
1,10,60,3.957985e+08
1,10,70,3.636607e+08
1,10,80,1.626652e+08
1,10,90,1.626652e+08
1,10,100,1.626652e+08
1,10,1,9.206910e+09
1,10,2,8.207236e+09
1,10,3,4.134154e+09
1,10,5,4.134154e+09
1,10,10,1.453100e+09
1,10,20,1.003220e+09
1,10,30,6.211098e+08
1,10,40,6.211098e+08
1,10,50,3.742610e+08
1,10,60,3.742610e+08
1,10,70,3.742610e+08
1,10,80,3.742610e+08
1,10,90,3.742610e+08
1,10,100,3.742610e+08
1,10,1,1.704716e+10
1,10,2,9.723181e+09
1,10,3,9.723181e+09
1,10,5,9.350728e+09
1,10,10,5.085095e+09
1,10,20,1.408466e+09
1,10,30,6.214686e+08
1,10,40,6.214686e+08
1,10,50,6.214686e+08
1,10,60,6.087273e+08
1,10,70,6.087273e+08
1,10,80,6.087273e+08
1,10,90,3.206136e+08
1,10,100,3.206136e+08
1,10,1,3.768967e+09
1,10,2,3.506327e+09
1,10,3,3.506327e+09
1,10,5,3.506327e+09
1,10,10,2.726169e+09
1,10,20,2.087700e+09
1,10,30,1.534963e+09
1,10,40,1.033325e+09
1,10,50,8.287451e+08
1,10,60,8.046805e+08
1,10,70,8.046805e+08
1,10,80,8.046805e+08
1,10,90,7.017249e+08
1,10,100,7.007545e+08
1,10,1,2.501714e+09
1,10,2,2.501714e+09
1,10,3,2.501714e+09
1,10,5,2.501714e+09
1,10,10,2.478636e+09
1,10,20,1.706621e+09
1,10,30,1.574905e+09
1,10,40,7.802108e+08
1,10,50,7.308513e+08
1,10,60,3.453119e+08
1,10,70,3.453119e+08
1,10,80,3.453119e+08
1,10,90,3.453119e+08
1,10,100,3.453119e+08
1,10,1,1.546667e+10
1,10,2,2.495533e+09
1,10,3,2.495533e+09
1,10,5,2.495533e+09
1,10,10,2.213084e+09
1,10,20,1.522779e+09
1,10,30,1.380278e+09
1,10,40,1.342962e+09
1,10,50,3.420000e+08
1,10,60,2.647820e+08
1,10,70,2.647820e+08
1,10,80,2.647820e+08
1,10,90,1.859364e+08
1,10,100,1.859364e+08
1,10,1,9.063925e+09
1,10,2,4.161500e+09
1,10,3,4.161500e+09
1,10,5,4.161500e+09
1,10,10,3.084984e+09
1,10,20,1.351879e+09
1,10,30,1.208033e+09
1,10,40,9.724448e+08
1,10,50,8.067801e+08
1,10,60,7.476245e+08
1,10,70,7.476245e+08
1,10,80,7.476245e+08
1,10,90,6.090755e+08
1,10,100,4.927186e+08
1,10,1,6.163083e+09
1,10,2,2.476451e+09
1,10,3,2.476451e+09
1,10,5,2.476451e+09
1,10,10,2.277312e+09
1,10,20,1.398162e+09
1,10,30,1.398162e+09
1,10,40,1.398162e+09
1,10,50,4.584155e+08
1,10,60,4.584155e+08
1,10,70,4.389513e+08
1,10,80,4.389513e+08
1,10,90,4.389513e+08
1,10,100,4.389513e+08
