funcid,dim,milestone,error
22,10,1,4.492236e+02
22,10,2,4.299888e+02
22,10,3,3.844500e+02
22,10,5,3.844500e+02
22,10,10,2.280789e+02
22,10,20,1.767243e+02
22,10,30,1.767243e+02
22,10,40,1.767243e+02
22,10,50,1.767243e+02
22,10,60,1.767243e+02
22,10,70,1.748634e+02
22,10,80,1.748634e+02
22,10,90,1.721309e+02
22,10,100,1.721309e+02
22,10,1,4.870487e+02
22,10,2,1.676509e+02
22,10,3,1.567467e+02
22,10,5,1.567467e+02
22,10,10,1.567467e+02
22,10,20,1.412793e+02
22,10,30,1.242943e+02
22,10,40,8.927724e+01
22,10,50,8.927724e+01
22,10,60,8.927724e+01
22,10,70,8.927724e+01
22,10,80,8.927724e+01
22,10,90,8.927724e+01
22,10,100,8.927724e+01
22,10,1,6.042285e+02
22,10,2,5.409756e+02
22,10,3,4.834826e+02
22,10,5,4.834826e+02
22,10,10,2.660199e+02
22,10,20,2.660199e+02
22,10,30,1.468428e+02
22,10,40,1.153982e+02
22,10,50,1.013694e+02
22,10,60,9.263034e+01
22,10,70,9.263034e+01
22,10,80,9.263034e+01
22,10,90,8.883875e+01
22,10,100,8.883875e+01
22,10,1,1.295316e+03
22,10,2,6.678528e+02
22,10,3,5.660456e+02
22,10,5,5.660456e+02
22,10,10,3.442424e+02
22,10,20,3.442424e+02
22,10,30,3.442424e+02
22,10,40,3.442424e+02
22,10,50,2.012554e+02
22,10,60,1.579453e+02
22,10,70,1.579453e+02
22,10,80,1.494682e+02
22,10,90,1.440994e+02
22,10,100,8.553873e+01
22,10,1,5.550457e+02
22,10,2,5.278999e+02
22,10,3,5.278999e+02
22,10,5,5.278999e+02
22,10,10,3.122649e+02
22,10,20,2.173911e+02
22,10,30,1.619570e+02
22,10,40,1.404601e+02
22,10,50,1.404601e+02
22,10,60,1.404601e+02
22,10,70,9.856862e+01
22,10,80,9.856862e+01
22,10,90,9.856862e+01
22,10,100,9.856862e+01
22,10,1,3.170230e+02
22,10,2,3.170230e+02
22,10,3,3.170230e+02
22,10,5,3.170230e+02
22,10,10,2.467716e+02
22,10,20,2.342047e+02
22,10,30,1.919408e+02
22,10,40,1.919408e+02
22,10,50,1.919408e+02
22,10,60,1.780839e+02
22,10,70,1.626137e+02
22,10,80,1.626137e+02
22,10,90,1.626137e+02
22,10,100,1.626137e+02
22,10,1,6.659458e+02
22,10,2,2.726278e+02
22,10,3,2.726278e+02
22,10,5,2.726278e+02
22,10,10,1.487655e+02
22,10,20,1.487655e+02
22,10,30,1.487655e+02
22,10,40,1.202995e+02
22,10,50,1.202995e+02
22,10,60,1.119850e+02
22,10,70,1.119850e+02
22,10,80,1.119850e+02
22,10,90,1.119850e+02
22,10,100,1.119850e+02
22,10,1,8.215382e+02
22,10,2,6.505688e+02
22,10,3,1.722601e+02
22,10,5,1.722601e+02
22,10,10,1.722601e+02
22,10,20,1.658857e+02
22,10,30,1.443114e+02
22,10,40,1.443114e+02
22,10,50,1.404104e+02
22,10,60,1.366011e+02
22,10,70,1.366011e+02
22,10,80,1.366011e+02
22,10,90,1.366011e+02
22,10,100,1.366011e+02
22,10,1,6.743907e+02
22,10,2,3.310639e+02
22,10,3,3.309975e+02
22,10,5,3.309975e+02
22,10,10,3.091478e+02
22,10,20,2.802466e+02
22,10,30,2.802466e+02
22,10,40,2.354446e+02
22,10,50,2.183989e+02
22,10,60,2.112382e+02
22,10,70,1.842394e+02
22,10,80,1.842394e+02
22,10,90,1.842394e+02
22,10,100,1.822800e+02
22,10,1,1.296357e+03
22,10,2,7.423370e+02
22,10,3,7.423370e+02
22,10,5,7.423370e+02
22,10,10,5.318389e+02
22,10,20,4.439922e+02
22,10,30,3.654064e+02
22,10,40,2.762664e+02
22,10,50,2.186771e+02
22,10,60,2.053028e+02
22,10,70,1.716835e+02
22,10,80,1.336621e+02
22,10,90,1.333252e+02
22,10,100,1.211968e+02
