funcid,dim,milestone,error
18,30,1,1.113434e+06
18,30,2,1.113272e+06
18,30,3,1.110674e+06
18,30,5,1.110674e+06
18,30,10,1.110054e+06
18,30,20,9.139570e+05
18,30,30,9.139338e+05
18,30,40,9.136699e+05
18,30,50,8.277671e+05
18,30,60,8.256415e+05
18,30,70,7.979621e+05
18,30,80,7.593475e+05
18,30,90,6.897172e+05
18,30,100,6.739263e+05
18,30,1,2.170474e+05
18,30,2,1.965595e+05
18,30,3,1.922359e+05
18,30,5,1.922359e+05
18,30,10,1.751727e+05
18,30,20,1.567558e+05
18,30,30,1.408101e+05
18,30,40,1.197612e+05
18,30,50,1.144892e+05
18,30,60,1.108956e+05
18,30,70,1.088831e+05
18,30,80,1.079474e+05
18,30,90,1.076626e+05
18,30,100,1.072707e+05
18,30,1,3.150325e+06
18,30,2,2.995684e+06
18,30,3,2.979153e+06
18,30,5,2.979153e+06
18,30,10,2.920947e+06
18,30,20,2.672596e+06
18,30,30,7.936219e+05
18,30,40,7.936205e+05
18,30,50,7.936204e+05
18,30,60,7.743648e+05
18,30,70,7.743635e+05
18,30,80,7.743635e+05
18,30,90,7.743613e+05
18,30,100,7.663538e+05
18,30,1,2.522071e+07
18,30,2,2.522071e+07
18,30,3,2.522071e+07
18,30,5,2.522071e+07
18,30,10,4.490690e+06
18,30,20,3.001076e+06
18,30,30,2.191584e+06
18,30,40,2.064093e+06
18,30,50,1.387638e+06
18,30,60,8.321852e+05
18,30,70,5.454544e+05
18,30,80,4.148117e+05
18,30,90,3.922266e+05
18,30,100,3.836226e+05
18,30,1,3.521358e+06
18,30,2,3.365303e+06
18,30,3,3.171671e+06
18,30,5,3.171671e+06
18,30,10,2.988562e+06
18,30,20,2.855076e+06
18,30,30,2.194294e+06
18,30,40,1.773758e+06
18,30,50,1.369071e+06
18,30,60,1.206257e+06
18,30,70,1.146350e+06
18,30,80,1.043001e+06
18,30,90,8.569078e+05
18,30,100,7.299473e+05
18,30,1,2.451864e+06
18,30,2,2.451709e+06
18,30,3,2.451164e+06
18,30,5,2.451164e+06
18,30,10,5.448912e+05
18,30,20,5.260494e+05
18,30,30,2.647809e+05
18,30,40,2.647731e+05
18,30,50,2.177425e+05
18,30,60,1.939954e+05
18,30,70,1.939954e+05
18,30,80,1.939952e+05
18,30,90,1.939952e+05
18,30,100,1.939952e+05
18,30,1,1.515257e+07
18,30,2,9.063199e+06
18,30,3,8.324779e+06
18,30,5,8.324779e+06
18,30,10,6.723649e+06
18,30,20,5.247522e+06
18,30,30,9.516561e+05
18,30,40,9.516561e+05
18,30,50,9.349151e+05
18,30,60,9.059355e+05
18,30,70,8.611229e+05
18,30,80,8.177070e+05
18,30,90,7.750351e+05
18,30,100,7.613673e+05
18,30,1,1.744364e+07
18,30,2,1.729121e+07
18,30,3,1.684691e+07
18,30,5,1.684691e+07
18,30,10,3.591834e+06
18,30,20,1.822892e+06
18,30,30,7.530404e+05
18,30,40,5.629068e+05
18,30,50,2.242582e+05
18,30,60,1.918718e+05
18,30,70,1.641758e+05
18,30,80,1.540484e+05
18,30,90,1.504859e+05
18,30,100,1.496157e+05
18,30,1,6.749349e+06
18,30,2,6.253045e+06
18,30,3,5.977039e+06
18,30,5,5.977039e+06
18,30,10,3.585349e+06
18,30,20,1.989934e+06
18,30,30,1.095898e+06
18,30,40,6.171219e+05
18,30,50,3.061728e+05
18,30,60,2.763974e+05
18,30,70,2.630395e+05
18,30,80,2.411419e+05
18,30,90,2.368273e+05
18,30,100,2.361445e+05
18,30,1,2.323698e+06
18,30,2,2.314218e+06
18,30,3,2.314208e+06
18,30,5,2.314208e+06
18,30,10,1.134955e+06
18,30,20,9.453560e+05
18,30,30,3.765758e+05
18,30,40,3.729224e+05
18,30,50,3.728703e+05
18,30,60,3.666123e+05
18,30,70,3.377151e+05
18,30,80,3.377128e+05
18,30,90,3.377120e+05
18,30,100,3.377116e+05
