funcid,dim,milestone,error
21,10,1,2.752703e+02
21,10,2,2.752703e+02
21,10,3,2.696087e+02
21,10,5,2.581003e+02
21,10,10,2.581003e+02
21,10,20,2.527194e+02
21,10,30,2.120630e+02
21,10,40,1.933314e+02
21,10,50,1.933314e+02
21,10,60,1.626485e+02
21,10,70,1.626485e+02
21,10,80,1.140364e+02
21,10,90,1.140364e+02
21,10,100,1.140364e+02
21,10,1,2.914234e+02
21,10,2,2.802001e+02
21,10,3,2.801725e+02
21,10,5,2.801725e+02
21,10,10,2.631402e+02
21,10,20,2.575226e+02
21,10,30,2.424614e+02
21,10,40,1.847310e+02
21,10,50,1.534342e+02
21,10,60,1.534342e+02
21,10,70,1.534342e+02
21,10,80,1.534342e+02
21,10,90,1.534342e+02
21,10,100,1.534342e+02
21,10,1,2.421653e+02
21,10,2,2.287537e+02
21,10,3,2.287537e+02
21,10,5,2.287537e+02
21,10,10,2.287537e+02
21,10,20,2.059133e+02
21,10,30,2.023240e+02
21,10,40,2.023240e+02
21,10,50,2.023240e+02
21,10,60,1.924259e+02
21,10,70,1.852576e+02
21,10,80,1.852576e+02
21,10,90,1.852576e+02
21,10,100,1.852576e+02
21,10,1,2.970221e+02
21,10,2,2.897578e+02
21,10,3,2.897578e+02
21,10,5,2.897578e+02
21,10,10,2.020683e+02
21,10,20,1.631765e+02
21,10,30,1.631765e+02
21,10,40,1.631765e+02
21,10,50,1.631765e+02
21,10,60,1.631765e+02
21,10,70,1.631765e+02
21,10,80,1.631765e+02
21,10,90,1.631765e+02
21,10,100,1.631765e+02
21,10,1,3.132012e+02
21,10,2,2.691828e+02
21,10,3,1.890874e+02
21,10,5,1.890874e+02
21,10,10,1.890874e+02
21,10,20,1.890874e+02
21,10,30,1.890874e+02
21,10,40,1.675764e+02
21,10,50,1.675764e+02
21,10,60,1.675764e+02
21,10,70,1.646048e+02
21,10,80,1.646048e+02
21,10,90,1.646048e+02
21,10,100,1.646048e+02
21,10,1,1.839976e+02
21,10,2,1.839976e+02
21,10,3,1.839976e+02
21,10,5,1.839976e+02
21,10,10,1.839976e+02
21,10,20,1.839976e+02
21,10,30,1.813888e+02
21,10,40,1.813888e+02
21,10,50,1.813888e+02
21,10,60,1.813888e+02
21,10,70,1.813888e+02
21,10,80,1.813888e+02
21,10,90,1.813888e+02
21,10,100,1.813888e+02
21,10,1,3.022550e+02
21,10,2,2.772391e+02
21,10,3,2.528698e+02
21,10,5,2.019132e+02
21,10,10,2.019132e+02
21,10,20,1.977561e+02
21,10,30,1.737572e+02
21,10,40,1.737572e+02
21,10,50,1.737572e+02
21,10,60,1.737572e+02
21,10,70,1.737572e+02
21,10,80,1.737572e+02
21,10,90,1.737572e+02
21,10,100,1.734897e+02
21,10,1,2.735951e+02
21,10,2,2.735951e+02
21,10,3,2.597958e+02
21,10,5,2.238944e+02
21,10,10,2.238944e+02
21,10,20,1.362906e+02
21,10,30,1.233997e+02
21,10,40,1.233997e+02
21,10,50,1.161148e+02
21,10,60,1.161148e+02
21,10,70,1.161148e+02
21,10,80,1.161148e+02
21,10,90,1.161148e+02
21,10,100,1.161148e+02
21,10,1,2.993491e+02
21,10,2,2.993491e+02
21,10,3,2.993491e+02
21,10,5,2.993491e+02
21,10,10,2.671554e+02
21,10,20,2.671554e+02
21,10,30,2.632274e+02
21,10,40,2.471918e+02
21,10,50,2.471918e+02
21,10,60,2.471918e+02
21,10,70,2.471918e+02
21,10,80,2.471918e+02
21,10,90,2.471918e+02
21,10,100,2.471918e+02
21,10,1,3.130779e+02
21,10,2,3.108009e+02
21,10,3,2.731064e+02
21,10,5,2.560514e+02
21,10,10,2.560514e+02
21,10,20,1.715256e+02
21,10,30,1.715171e+02
21,10,40,1.715171e+02
21,10,50,1.689905e+02
21,10,60,1.469552e+02
21,10,70,1.469552e+02
21,10,80,1.469552e+02
21,10,90,1.469552e+02
21,10,100,1.458114e+02
