funcid,dim,milestone,error
28,10,1,8.801388e+02
28,10,2,8.553433e+02
28,10,3,8.553433e+02
28,10,5,8.553433e+02
28,10,10,7.685720e+02
28,10,20,6.205859e+02
28,10,30,5.275293e+02
28,10,40,4.522413e+02
28,10,50,4.522413e+02
28,10,60,4.457329e+02
28,10,70,4.457329e+02
28,10,80,4.457329e+02
28,10,90,4.457329e+02
28,10,100,4.457329e+02
28,10,1,9.430156e+02
28,10,2,6.426972e+02
28,10,3,6.426972e+02
28,10,5,6.426972e+02
28,10,10,6.426972e+02
28,10,20,6.112047e+02
28,10,30,5.588267e+02
28,10,40,5.285958e+02
28,10,50,5.179471e+02
28,10,60,5.139766e+02
28,10,70,5.139766e+02
28,10,80,5.139766e+02
28,10,90,5.139766e+02
28,10,100,5.139766e+02
28,10,1,9.028507e+02
28,10,2,7.283353e+02
28,10,3,7.283353e+02
28,10,5,7.283353e+02
28,10,10,6.550131e+02
28,10,20,6.175222e+02
28,10,30,5.748703e+02
28,10,40,5.594231e+02
28,10,50,5.594231e+02
28,10,60,5.372948e+02
28,10,70,5.372948e+02
28,10,80,5.372948e+02
28,10,90,5.100035e+02
28,10,100,5.100035e+02
28,10,1,9.365338e+02
28,10,2,9.365338e+02
28,10,3,9.365338e+02
28,10,5,9.365338e+02
28,10,10,6.609671e+02
28,10,20,6.609671e+02
28,10,30,6.609671e+02
28,10,40,6.609671e+02
28,10,50,6.543861e+02
28,10,60,6.543861e+02
28,10,70,6.459822e+02
28,10,80,5.461928e+02
28,10,90,5.461928e+02
28,10,100,5.461928e+02
28,10,1,7.661519e+02
28,10,2,7.661519e+02
28,10,3,7.108027e+02
28,10,5,7.108027e+02
28,10,10,6.556920e+02
28,10,20,4.899784e+02
28,10,30,4.703358e+02
28,10,40,4.703358e+02
28,10,50,4.703358e+02
28,10,60,4.703358e+02
28,10,70,4.703358e+02
28,10,80,4.703358e+02
28,10,90,4.703358e+02
28,10,100,4.703358e+02
28,10,1,6.910766e+02
28,10,2,6.910766e+02
28,10,3,6.910766e+02
28,10,5,6.910766e+02
28,10,10,6.910766e+02
28,10,20,6.910766e+02
28,10,30,5.421401e+02
28,10,40,5.421401e+02
28,10,50,5.421401e+02
28,10,60,5.421401e+02
28,10,70,5.421401e+02
28,10,80,5.421401e+02
28,10,90,5.346719e+02
28,10,100,5.346719e+02
28,10,1,1.151176e+03
28,10,2,8.726671e+02
28,10,3,8.726671e+02
28,10,5,8.726671e+02
28,10,10,6.195319e+02
28,10,20,5.894641e+02
28,10,30,5.186209e+02
28,10,40,5.186209e+02
28,10,50,5.105600e+02
28,10,60,5.105600e+02
28,10,70,5.070381e+02
28,10,80,5.070381e+02
28,10,90,4.976114e+02
28,10,100,4.947350e+02
28,10,1,1.102223e+03
28,10,2,1.013202e+03
28,10,3,1.013202e+03
28,10,5,9.816231e+02
28,10,10,6.657047e+02
28,10,20,6.657047e+02
28,10,30,5.932519e+02
28,10,40,5.932519e+02
28,10,50,5.044727e+02
28,10,60,5.022618e+02
28,10,70,5.022618e+02
28,10,80,5.022618e+02
28,10,90,5.022618e+02
28,10,100,5.022618e+02
28,10,1,9.213678e+02
28,10,2,9.176889e+02
28,10,3,9.079486e+02
28,10,5,9.079486e+02
28,10,10,5.329520e+02
28,10,20,5.175521e+02
28,10,30,5.175521e+02
28,10,40,4.685438e+02
28,10,50,4.685438e+02
28,10,60,4.622050e+02
28,10,70,4.622050e+02
28,10,80,4.622050e+02
28,10,90,4.622050e+02
28,10,100,4.622050e+02
28,10,1,7.309398e+02
28,10,2,7.309398e+02
28,10,3,6.760626e+02
28,10,5,6.760626e+02
28,10,10,6.726224e+02
28,10,20,6.593256e+02
28,10,30,6.203062e+02
28,10,40,6.159325e+02
28,10,50,6.159325e+02
28,10,60,6.149352e+02
28,10,70,6.145439e+02
28,10,80,6.145439e+02
28,10,90,5.528590e+02
28,10,100,5.515837e+02
