funcid,dim,milestone,error
26,30,1,5.927095e+03
26,30,2,5.763568e+03
26,30,3,5.761460e+03
26,30,5,5.761460e+03
26,30,10,5.201170e+03
26,30,20,4.229281e+03
26,30,30,3.696733e+03
26,30,40,3.512996e+03
26,30,50,3.512561e+03
26,30,60,3.464242e+03
26,30,70,3.402383e+03
26,30,80,3.395428e+03
26,30,90,3.395428e+03
26,30,100,3.395161e+03
26,30,1,6.535598e+03
26,30,2,6.354646e+03
26,30,3,6.221088e+03
26,30,5,6.221088e+03
26,30,10,4.178465e+03
26,30,20,2.155497e+03
26,30,30,8.141517e+02
26,30,40,4.505490e+02
26,30,50,3.906251e+02
26,30,60,3.122250e+02
26,30,70,2.980499e+02
26,30,80,2.976158e+02
26,30,90,2.545399e+02
26,30,100,2.415232e+02
26,30,1,5.915311e+03
26,30,2,5.684765e+03
26,30,3,5.677203e+03
26,30,5,5.677203e+03
26,30,10,3.855497e+03
26,30,20,3.177710e+03
26,30,30,2.819086e+03
26,30,40,2.723622e+03
26,30,50,2.671695e+03
26,30,60,2.505436e+03
26,30,70,2.505436e+03
26,30,80,2.448209e+03
26,30,90,2.424408e+03
26,30,100,2.353598e+03
26,30,1,5.797715e+03
26,30,2,5.404498e+03
26,30,3,5.394087e+03
26,30,5,5.394087e+03
26,30,10,4.403705e+03
26,30,20,4.160088e+03
26,30,30,3.789361e+03
26,30,40,3.748476e+03
26,30,50,3.742869e+03
26,30,60,3.658347e+03
26,30,70,3.647861e+03
26,30,80,3.621955e+03
26,30,90,3.620477e+03
26,30,100,3.612629e+03
26,30,1,9.219753e+03
26,30,2,8.646477e+03
26,30,3,8.608899e+03
26,30,5,8.608899e+03
26,30,10,3.696660e+03
26,30,20,1.609818e+03
26,30,30,5.621282e+02
26,30,40,4.570244e+02
26,30,50,4.428283e+02
26,30,60,3.029558e+02
26,30,70,2.915924e+02
26,30,80,2.887374e+02
26,30,90,2.866998e+02
26,30,100,2.759417e+02
26,30,1,6.821861e+03
26,30,2,6.713542e+03
26,30,3,6.705073e+03
26,30,5,6.705073e+03
26,30,10,1.462600e+03
26,30,20,7.925898e+02
26,30,30,4.121199e+02
26,30,40,3.370362e+02
26,30,50,3.318864e+02
26,30,60,2.614259e+02
26,30,70,2.577008e+02
26,30,80,2.577008e+02
26,30,90,2.576433e+02
26,30,100,2.576433e+02
26,30,1,4.969495e+03
26,30,2,4.810177e+03
26,30,3,4.782299e+03
26,30,5,4.782299e+03
26,30,10,3.436608e+03
26,30,20,3.027262e+03
26,30,30,2.567791e+03
26,30,40,2.456817e+03
26,30,50,2.336244e+03
26,30,60,2.282249e+03
26,30,70,2.226301e+03
26,30,80,2.202161e+03
26,30,90,2.135820e+03
26,30,100,2.135820e+03
26,30,1,4.919449e+03
26,30,2,4.425178e+03
26,30,3,4.285389e+03
26,30,5,4.285389e+03
26,30,10,1.792893e+03
26,30,20,1.465189e+03
26,30,30,1.168872e+03
26,30,40,1.135578e+03
26,30,50,1.099802e+03
26,30,60,1.069498e+03
26,30,70,1.057648e+03
26,30,80,1.023714e+03
26,30,90,9.211976e+02
26,30,100,9.073024e+02
26,30,1,6.514097e+03
26,30,2,6.112681e+03
26,30,3,6.105700e+03
26,30,5,6.105700e+03
26,30,10,3.824958e+03
26,30,20,3.570875e+03
26,30,30,3.222271e+03
26,30,40,3.161571e+03
26,30,50,2.824257e+03
26,30,60,2.776004e+03
26,30,70,2.769203e+03
26,30,80,2.765443e+03
26,30,90,2.754368e+03
26,30,100,2.754368e+03
26,30,1,4.015056e+03
26,30,2,3.798611e+03
26,30,3,3.664708e+03
26,30,5,3.664708e+03
26,30,10,3.144852e+03
26,30,20,1.844518e+03
26,30,30,5.438456e+02
26,30,40,4.716433e+02
26,30,50,4.211862e+02
26,30,60,3.079814e+02
26,30,70,3.057411e+02
26,30,80,2.893280e+02
26,30,90,2.892493e+02
26,30,100,2.862582e+02
