funcid,dim,milestone,error
30,10,1,9.064276e+05
30,10,2,6.399511e+05
30,10,3,5.935355e+05
30,10,5,5.935355e+05
30,10,10,3.635755e+05
30,10,20,1.871770e+05
30,10,30,1.863444e+05
30,10,40,1.814443e+05
30,10,50,1.787460e+05
30,10,60,1.674245e+05
30,10,70,1.627004e+05
30,10,80,1.619299e+05
30,10,90,1.617800e+05
30,10,100,1.520023e+05
30,10,1,4.852869e+06
30,10,2,2.959534e+06
30,10,3,2.847417e+06
30,10,5,2.847417e+06
30,10,10,2.392152e+06
30,10,20,2.351947e+06
30,10,30,2.322429e+06
30,10,40,2.251844e+06
30,10,50,2.217812e+06
30,10,60,2.128513e+06
30,10,70,2.105970e+06
30,10,80,2.043155e+06
30,10,90,2.041958e+06
30,10,100,2.008818e+06
30,10,1,1.821177e+07
30,10,2,1.186100e+07
30,10,3,1.149584e+07
30,10,5,1.149584e+07
30,10,10,8.517256e+06
30,10,20,7.366963e+06
30,10,30,4.963826e+06
30,10,40,4.669988e+06
30,10,50,4.542459e+06
30,10,60,3.806912e+06
30,10,70,3.464707e+06
30,10,80,3.310696e+06
30,10,90,3.051989e+06
30,10,100,2.788475e+06
30,10,1,9.132744e+06
30,10,2,8.927992e+06
30,10,3,7.972515e+06
30,10,5,7.972515e+06
30,10,10,1.246332e+06
30,10,20,1.246332e+06
30,10,30,1.246330e+06
30,10,40,1.246330e+06
30,10,50,1.246330e+06
30,10,60,1.246329e+06
30,10,70,1.246329e+06
30,10,80,1.246329e+06
30,10,90,1.246329e+06
30,10,100,1.221498e+06
30,10,1,1.937794e+07
30,10,2,8.353828e+06
30,10,3,6.866948e+06
30,10,5,6.866948e+06
30,10,10,4.642943e+06
30,10,20,2.607545e+06
30,10,30,1.678906e+06
30,10,40,1.358744e+06
30,10,50,1.030481e+06
30,10,60,9.438812e+05
30,10,70,8.707171e+05
30,10,80,6.948883e+05
30,10,90,6.755439e+05
30,10,100,5.963645e+05
30,10,1,1.002318e+06
30,10,2,7.017104e+05
30,10,3,6.671390e+05
30,10,5,6.671390e+05
30,10,10,5.820422e+05
30,10,20,5.746177e+05
30,10,30,5.724613e+05
30,10,40,5.366054e+05
30,10,50,5.302402e+05
30,10,60,4.975067e+05
30,10,70,4.975067e+05
30,10,80,4.389603e+05
30,10,90,4.147046e+05
30,10,100,4.147046e+05
30,10,1,4.045228e+06
30,10,2,3.893489e+06
30,10,3,3.550950e+06
30,10,5,3.550950e+06
30,10,10,3.476603e+06
30,10,20,3.330636e+06
30,10,30,3.285361e+06
30,10,40,2.289003e+06
30,10,50,2.203018e+06
30,10,60,2.092582e+06
30,10,70,2.091753e+06
30,10,80,2.091676e+06
30,10,90,2.091367e+06
30,10,100,2.090896e+06
30,10,1,3.104897e+06
30,10,2,2.297823e+06
30,10,3,2.282242e+06
30,10,5,2.282242e+06
30,10,10,1.451999e+06
30,10,20,1.417204e+06
30,10,30,1.417195e+06
30,10,40,1.417187e+06
30,10,50,1.417187e+06
30,10,60,1.417187e+06
30,10,70,1.417187e+06
30,10,80,1.417187e+06
30,10,90,1.417187e+06
30,10,100,1.417187e+06
30,10,1,3.966880e+06
30,10,2,2.722698e+06
30,10,3,2.670890e+06
30,10,5,2.670890e+06
30,10,10,2.141315e+06
30,10,20,1.924445e+06
30,10,30,1.749170e+06
30,10,40,1.469323e+06
30,10,50,1.465990e+06
30,10,60,1.325186e+06
30,10,70,1.193852e+06
30,10,80,1.170115e+06
30,10,90,1.168048e+06
30,10,100,1.119764e+06
30,10,1,2.176911e+06
30,10,2,2.164382e+06
30,10,3,2.120603e+06
30,10,5,2.120603e+06
30,10,10,6.945482e+05
30,10,20,6.643644e+05
30,10,30,6.643596e+05
30,10,40,6.643540e+05
30,10,50,6.643540e+05
30,10,60,6.643540e+05
30,10,70,6.643540e+05
30,10,80,6.643540e+05
30,10,90,6.643540e+05
30,10,100,6.643540e+05
