funcid,dim,milestone,error
23,10,1,3.890607e+02
23,10,2,3.745497e+02
23,10,3,3.736442e+02
23,10,5,3.736442e+02
23,10,10,3.571383e+02
23,10,20,3.380920e+02
23,10,30,3.313421e+02
23,10,40,3.313421e+02
23,10,50,3.312090e+02
23,10,60,3.312003e+02
23,10,70,3.309149e+02
23,10,80,3.309128e+02
23,10,90,3.307366e+02
23,10,100,3.307366e+02
23,10,1,3.655193e+02
23,10,2,3.645400e+02
23,10,3,3.631477e+02
23,10,5,3.631477e+02
23,10,10,3.447722e+02
23,10,20,3.426488e+02
23,10,30,3.405477e+02
23,10,40,3.374986e+02
23,10,50,3.372703e+02
23,10,60,3.337213e+02
23,10,70,3.324756e+02
23,10,80,3.324351e+02
23,10,90,3.296030e+02
23,10,100,3.288000e+02
23,10,1,4.641051e+02
23,10,2,4.520594e+02
23,10,3,4.519962e+02
23,10,5,4.519962e+02
23,10,10,3.642228e+02
23,10,20,3.592554e+02
23,10,30,3.455362e+02
23,10,40,3.383511e+02
23,10,50,3.309141e+02
23,10,60,3.297177e+02
23,10,70,3.297177e+02
23,10,80,3.296902e+02
23,10,90,3.296012e+02
23,10,100,3.296012e+02
23,10,1,3.319936e+02
23,10,2,3.309464e+02
23,10,3,3.309264e+02
23,10,5,3.309264e+02
23,10,10,3.307454e+02
23,10,20,3.307427e+02
23,10,30,3.272928e+02
23,10,40,3.192594e+02
23,10,50,3.192431e+02
23,10,60,3.192425e+02
23,10,70,3.192425e+02
23,10,80,3.192425e+02
23,10,90,3.192425e+02
23,10,100,3.192425e+02
23,10,1,4.683742e+02
23,10,2,4.549328e+02
23,10,3,4.549166e+02
23,10,5,4.549166e+02
23,10,10,3.349737e+02
23,10,20,3.280377e+02
23,10,30,3.244128e+02
23,10,40,3.241590e+02
23,10,50,3.241590e+02
23,10,60,3.240554e+02
23,10,70,3.240554e+02
23,10,80,3.240554e+02
23,10,90,3.240554e+02
23,10,100,3.240554e+02
23,10,1,3.775992e+02
23,10,2,3.774363e+02
23,10,3,3.721957e+02
23,10,5,3.721957e+02
23,10,10,3.704245e+02
23,10,20,3.576467e+02
23,10,30,3.391071e+02
23,10,40,3.391071e+02
23,10,50,3.386991e+02
23,10,60,3.386814e+02
23,10,70,3.386814e+02
23,10,80,3.386814e+02
23,10,90,3.386814e+02
23,10,100,3.348671e+02
23,10,1,4.889448e+02
23,10,2,4.838086e+02
23,10,3,4.834200e+02
23,10,5,4.834200e+02
23,10,10,3.876656e+02
23,10,20,3.676685e+02
23,10,30,3.650545e+02
23,10,40,3.644848e+02
23,10,50,3.629232e+02
23,10,60,3.628198e+02
23,10,70,3.628198e+02
23,10,80,3.626710e+02
23,10,90,3.619885e+02
23,10,100,3.619885e+02
23,10,1,3.943660e+02
23,10,2,3.664926e+02
23,10,3,3.628331e+02
23,10,5,3.628331e+02
23,10,10,3.628329e+02
23,10,20,3.557540e+02
23,10,30,3.538694e+02
23,10,40,3.538694e+02
23,10,50,3.538694e+02
23,10,60,3.538694e+02
23,10,70,3.538694e+02
23,10,80,3.536633e+02
23,10,90,3.534780e+02
23,10,100,3.534780e+02
23,10,1,3.548890e+02
23,10,2,3.497807e+02
23,10,3,3.478129e+02
23,10,5,3.478129e+02
23,10,10,3.436206e+02
23,10,20,3.254259e+02
23,10,30,3.234221e+02
23,10,40,3.222163e+02
23,10,50,3.222163e+02
23,10,60,3.202160e+02
23,10,70,3.202160e+02
23,10,80,3.202160e+02
23,10,90,3.103000e+02
23,10,100,3.099957e+02
23,10,1,3.718028e+02
23,10,2,3.714622e+02
23,10,3,3.711842e+02
23,10,5,3.711842e+02
23,10,10,3.710958e+02
23,10,20,3.710544e+02
23,10,30,3.710281e+02
23,10,40,3.644368e+02
23,10,50,3.643777e+02
23,10,60,3.643731e+02
23,10,70,3.634232e+02
23,10,80,3.634222e+02
23,10,90,3.634193e+02
23,10,100,3.634193e+02
