funcid,dim,milestone,error
30,30,1,4.097641e+08
30,30,2,3.700770e+08
30,30,3,3.692299e+08
30,30,5,3.692299e+08
30,30,10,2.857688e+07
30,30,20,1.470199e+07
30,30,30,1.136651e+07
30,30,40,1.134946e+07
30,30,50,1.590184e+06
30,30,60,1.564442e+06
30,30,70,7.000118e+05
30,30,80,6.968272e+05
30,30,90,6.930292e+05
30,30,100,1.033950e+05
30,30,1,8.812925e+07
30,30,2,8.382978e+07
30,30,3,8.316122e+07
30,30,5,8.316122e+07
30,30,10,3.780841e+07
30,30,20,3.670018e+07
30,30,30,2.430585e+07
30,30,40,1.090147e+07
30,30,50,1.061857e+07
30,30,60,4.313132e+05
30,30,70,3.066574e+05
30,30,80,2.028946e+05
30,30,90,1.874328e+05
30,30,100,1.501307e+05
30,30,1,1.047470e+09
30,30,2,1.030608e+09
30,30,3,1.028450e+09
30,30,5,9.910792e+08
30,30,10,4.183766e+07
30,30,20,9.787948e+06
30,30,30,7.020444e+06
30,30,40,7.015738e+06
30,30,50,5.366878e+06
30,30,60,4.898789e+05
30,30,70,4.825174e+05
30,30,80,4.787872e+05
30,30,90,4.610513e+05
30,30,100,4.610513e+05
30,30,1,6.476949e+06
30,30,2,2.912023e+06
30,30,3,2.901664e+06
30,30,5,2.901664e+06
30,30,10,4.279829e+05
30,30,20,3.547654e+05
30,30,30,3.525602e+05
30,30,40,3.372654e+05
30,30,50,3.102241e+05
30,30,60,2.717836e+05
30,30,70,1.942442e+05
30,30,80,1.687425e+05
30,30,90,1.657126e+05
30,30,100,1.287514e+05
30,30,1,4.226872e+08
30,30,2,4.181747e+08
30,30,3,4.178248e+08
30,30,5,2.575550e+08
30,30,10,3.806552e+07
30,30,20,1.852752e+06
30,30,30,1.736467e+06
30,30,40,1.703097e+06
30,30,50,1.686480e+06
30,30,60,1.187910e+06
30,30,70,1.181423e+06
30,30,80,1.181242e+06
30,30,90,9.459397e+05
30,30,100,9.025439e+05
30,30,1,9.883926e+07
30,30,2,7.471805e+07
30,30,3,7.314864e+07
30,30,5,7.314864e+07
30,30,10,7.281060e+07
30,30,20,6.343681e+07
30,30,30,2.420647e+07
30,30,40,7.246155e+06
30,30,50,1.512728e+06
30,30,60,1.441946e+06
30,30,70,7.794060e+05
30,30,80,4.937136e+05
30,30,90,4.779869e+05
30,30,100,3.089203e+05
30,30,1,4.341750e+08
30,30,2,4.341682e+08
30,30,3,4.331377e+08
30,30,5,4.331377e+08
30,30,10,5.020834e+07
30,30,20,2.849618e+07
30,30,30,2.480918e+07
30,30,40,3.344532e+06
30,30,50,9.107757e+05
30,30,60,4.265894e+05
30,30,70,2.527743e+05
30,30,80,1.491313e+05
30,30,90,1.198037e+05
30,30,100,8.698354e+04
30,30,1,1.730789e+08
30,30,2,1.621670e+08
30,30,3,1.612995e+08
30,30,5,1.612995e+08
30,30,10,4.296037e+07
30,30,20,1.129063e+07
30,30,30,2.546851e+06
30,30,40,2.546851e+06
30,30,50,1.046347e+06
30,30,60,1.013284e+06
30,30,70,8.475228e+05
30,30,80,3.569054e+05
30,30,90,2.543483e+05
30,30,100,1.860111e+05
30,30,1,2.663012e+07
30,30,2,1.486644e+06
30,30,3,1.034723e+06
30,30,5,1.034723e+06
30,30,10,3.355085e+05
30,30,20,3.003768e+05
30,30,30,2.611294e+05
30,30,40,2.429195e+05
30,30,50,2.010132e+05
30,30,60,1.971237e+05
30,30,70,8.045526e+04
30,30,80,6.685769e+04
30,30,90,6.684198e+04
30,30,100,6.647318e+04
30,30,1,8.683446e+07
30,30,2,2.924378e+06
30,30,3,2.824978e+06
30,30,5,2.824978e+06
30,30,10,1.967828e+06
30,30,20,1.783554e+06
30,30,30,1.308297e+06
30,30,40,1.295827e+06
30,30,50,5.319303e+05
30,30,60,3.950016e+05
30,30,70,2.950574e+05
30,30,80,1.353737e+05
30,30,90,8.235106e+04
30,30,100,6.051358e+04
