funcid,dim,milestone,error
25,10,1,6.655952e+02
25,10,2,6.578661e+02
25,10,3,6.562846e+02
25,10,5,6.562846e+02
25,10,10,4.951098e+02
25,10,20,4.691351e+02
25,10,30,4.600223e+02
25,10,40,4.554427e+02
25,10,50,4.533526e+02
25,10,60,4.497318e+02
25,10,70,4.480749e+02
25,10,80,4.480749e+02
25,10,90,4.473184e+02
25,10,100,4.473184e+02
25,10,1,4.916359e+02
25,10,2,4.886792e+02
25,10,3,4.866399e+02
25,10,5,4.866399e+02
25,10,10,4.859406e+02
25,10,20,4.781126e+02
25,10,30,4.615591e+02
25,10,40,4.615590e+02
25,10,50,4.564411e+02
25,10,60,4.546814e+02
25,10,70,4.515209e+02
25,10,80,4.513124e+02
25,10,90,4.513080e+02
25,10,100,4.513064e+02
25,10,1,5.720962e+02
25,10,2,5.667196e+02
25,10,3,5.667098e+02
25,10,5,5.667098e+02
25,10,10,5.360488e+02
25,10,20,4.566888e+02
25,10,30,4.470464e+02
25,10,40,4.460966e+02
25,10,50,4.459050e+02
25,10,60,4.459050e+02
25,10,70,4.457129e+02
25,10,80,4.454939e+02
25,10,90,4.450232e+02
25,10,100,4.312697e+02
25,10,1,5.771111e+02
25,10,2,5.751034e+02
25,10,3,5.657731e+02
25,10,5,5.125016e+02
25,10,10,4.865717e+02
25,10,20,4.632380e+02
25,10,30,4.568871e+02
25,10,40,4.554338e+02
25,10,50,4.503596e+02
25,10,60,4.501438e+02
25,10,70,4.501161e+02
25,10,80,4.501155e+02
25,10,90,4.501152e+02
25,10,100,4.501148e+02
25,10,1,8.930898e+02
25,10,2,8.924053e+02
25,10,3,8.922759e+02
25,10,5,8.922759e+02
25,10,10,4.986079e+02
25,10,20,4.659763e+02
25,10,30,4.543560e+02
25,10,40,4.528984e+02
25,10,50,4.500043e+02
25,10,60,4.499602e+02
25,10,70,4.499539e+02
25,10,80,4.499444e+02
25,10,90,4.496959e+02
25,10,100,4.496959e+02
25,10,1,6.109048e+02
25,10,2,5.916870e+02
25,10,3,5.866156e+02
25,10,5,5.866156e+02
25,10,10,4.787618e+02
25,10,20,4.651922e+02
25,10,30,4.484134e+02
25,10,40,4.431409e+02
25,10,50,4.397225e+02
25,10,60,4.354483e+02
25,10,70,4.319520e+02
25,10,80,4.292245e+02
25,10,90,4.258147e+02
25,10,100,4.237076e+02
25,10,1,1.376883e+03
25,10,2,1.111181e+03
25,10,3,1.110906e+03
25,10,5,1.110906e+03
25,10,10,4.985937e+02
25,10,20,4.850824e+02
25,10,30,4.683734e+02
25,10,40,4.565560e+02
25,10,50,4.559090e+02
25,10,60,4.559090e+02
25,10,70,4.559090e+02
25,10,80,4.559090e+02
25,10,90,4.527972e+02
25,10,100,4.527972e+02
25,10,1,6.217465e+02
25,10,2,6.181325e+02
25,10,3,6.180036e+02
25,10,5,6.180036e+02
25,10,10,4.750215e+02
25,10,20,4.541978e+02
25,10,30,4.515582e+02
25,10,40,4.515582e+02
25,10,50,4.514598e+02
25,10,60,4.507813e+02
25,10,70,4.473501e+02
25,10,80,4.468178e+02
25,10,90,4.468122e+02
25,10,100,4.468091e+02
25,10,1,4.777729e+02
25,10,2,4.683927e+02
25,10,3,4.663642e+02
25,10,5,4.663642e+02
25,10,10,4.645793e+02
25,10,20,4.640720e+02
25,10,30,4.567687e+02
25,10,40,4.556418e+02
25,10,50,4.556391e+02
25,10,60,4.543863e+02
25,10,70,4.538995e+02
25,10,80,4.533406e+02
25,10,90,4.533406e+02
25,10,100,4.519713e+02
25,10,1,6.200773e+02
25,10,2,6.142542e+02
25,10,3,6.140964e+02
25,10,5,5.539191e+02
25,10,10,4.992306e+02
25,10,20,4.681166e+02
25,10,30,4.492602e+02
25,10,40,4.393864e+02
25,10,50,4.217715e+02
25,10,60,4.125245e+02
25,10,70,4.065050e+02
25,10,80,4.024827e+02
25,10,90,4.009683e+02
25,10,100,4.003640e+02
