funcid,dim,milestone,error
22,10,1,3.814505e+02
22,10,2,3.588758e+02
22,10,3,3.542132e+02
22,10,5,3.542132e+02
22,10,10,2.405805e+02
22,10,20,1.249318e+02
22,10,30,1.249317e+02
22,10,40,1.198299e+02
22,10,50,1.193417e+02
22,10,60,1.190962e+02
22,10,70,1.190689e+02
22,10,80,1.190630e+02
22,10,90,1.176729e+02
22,10,100,1.167600e+02
22,10,1,1.247047e+03
22,10,2,1.184027e+03
22,10,3,7.780618e+02
22,10,5,6.850650e+02
22,10,10,1.655938e+02
22,10,20,1.188550e+02
22,10,30,1.188550e+02
22,10,40,1.156851e+02
22,10,50,1.153704e+02
22,10,60,1.128298e+02
22,10,70,1.108372e+02
22,10,80,1.108372e+02
22,10,90,1.093430e+02
22,10,100,1.093430e+02
22,10,1,1.440415e+02
22,10,2,1.355555e+02
22,10,3,1.355555e+02
22,10,5,1.355555e+02
22,10,10,1.317778e+02
22,10,20,1.310210e+02
22,10,30,1.228696e+02
22,10,40,1.191453e+02
22,10,50,1.190546e+02
22,10,60,1.187277e+02
22,10,70,1.163373e+02
22,10,80,1.163368e+02
22,10,90,1.163368e+02
22,10,100,1.152775e+02
22,10,1,1.681675e+03
22,10,2,1.530206e+03
22,10,3,8.885225e+02
22,10,5,7.560230e+02
22,10,10,1.928587e+02
22,10,20,1.300114e+02
22,10,30,1.274031e+02
22,10,40,1.274031e+02
22,10,50,1.262475e+02
22,10,60,1.248556e+02
22,10,70,1.248556e+02
22,10,80,1.197535e+02
22,10,90,1.191770e+02
22,10,100,1.191770e+02
22,10,1,8.605746e+02
22,10,2,5.732610e+02
22,10,3,4.073483e+02
22,10,5,4.073483e+02
22,10,10,1.389144e+02
22,10,20,1.205819e+02
22,10,30,1.140379e+02
22,10,40,1.138507e+02
22,10,50,1.138507e+02
22,10,60,1.110587e+02
22,10,70,1.110587e+02
22,10,80,1.109112e+02
22,10,90,1.109112e+02
22,10,100,1.105348e+02
22,10,1,2.529709e+02
22,10,2,2.385325e+02
22,10,3,2.370704e+02
22,10,5,2.370704e+02
22,10,10,2.336936e+02
22,10,20,1.502324e+02
22,10,30,1.288555e+02
22,10,40,1.288555e+02
22,10,50,1.245762e+02
22,10,60,1.245762e+02
22,10,70,1.245762e+02
22,10,80,1.245762e+02
22,10,90,1.245762e+02
22,10,100,1.226563e+02
22,10,1,2.517159e+02
22,10,2,2.488377e+02
22,10,3,2.484940e+02
22,10,5,2.484940e+02
22,10,10,1.443776e+02
22,10,20,1.376017e+02
22,10,30,1.270915e+02
22,10,40,1.237193e+02
22,10,50,1.152869e+02
22,10,60,1.141505e+02
22,10,70,1.076235e+02
22,10,80,1.050713e+02
22,10,90,1.034727e+02
22,10,100,1.031637e+02
22,10,1,2.444140e+02
22,10,2,2.043703e+02
22,10,3,2.023143e+02
22,10,5,2.023143e+02
22,10,10,1.436279e+02
22,10,20,1.263318e+02
22,10,30,1.209634e+02
22,10,40,1.022357e+02
22,10,50,8.154708e+01
22,10,60,7.335406e+01
22,10,70,7.287783e+01
22,10,80,7.276953e+01
22,10,90,7.274491e+01
22,10,100,7.273722e+01
22,10,1,3.827217e+02
22,10,2,3.598113e+02
22,10,3,3.596826e+02
22,10,5,3.596826e+02
22,10,10,1.426831e+02
22,10,20,1.267556e+02
22,10,30,1.173962e+02
22,10,40,1.171187e+02
22,10,50,1.129147e+02
22,10,60,1.127435e+02
22,10,70,1.127435e+02
22,10,80,1.127172e+02
22,10,90,1.093554e+02
22,10,100,1.093554e+02
22,10,1,1.600577e+02
22,10,2,1.597811e+02
22,10,3,1.562572e+02
22,10,5,1.562572e+02
22,10,10,1.562491e+02
22,10,20,1.562463e+02
22,10,30,1.430464e+02
22,10,40,1.080307e+02
22,10,50,1.079481e+02
22,10,60,1.079091e+02
22,10,70,1.078933e+02
22,10,80,1.078930e+02
22,10,90,1.078930e+02
22,10,100,1.078928e+02
