funcid,dim,milestone,error
24,10,1,4.080018e+02
24,10,2,4.077012e+02
24,10,3,4.074840e+02
24,10,5,4.074840e+02
24,10,10,4.056897e+02
24,10,20,4.056897e+02
24,10,30,4.010702e+02
24,10,40,4.010539e+02
24,10,50,4.010539e+02
24,10,60,4.009468e+02
24,10,70,4.009468e+02
24,10,80,4.009468e+02
24,10,90,4.009468e+02
24,10,100,4.009468e+02
24,10,1,1.822308e+02
24,10,2,1.812399e+02
24,10,3,1.751637e+02
24,10,5,1.751637e+02
24,10,10,1.740360e+02
24,10,20,1.718677e+02
24,10,30,1.703132e+02
24,10,40,1.106129e+02
24,10,50,1.057738e+02
24,10,60,1.042308e+02
24,10,70,1.008455e+02
24,10,80,8.697548e+01
24,10,90,8.696597e+01
24,10,100,6.055226e+01
24,10,1,4.420976e+02
24,10,2,4.294987e+02
24,10,3,4.290571e+02
24,10,5,4.287679e+02
24,10,10,3.800969e+02
24,10,20,2.848480e+02
24,10,30,2.535729e+02
24,10,40,2.320057e+02
24,10,50,1.791640e+02
24,10,60,1.691682e+02
24,10,70,1.522047e+02
24,10,80,1.159260e+02
24,10,90,1.066457e+02
24,10,100,1.036661e+02
24,10,1,4.963472e+02
24,10,2,4.744854e+02
24,10,3,4.744824e+02
24,10,5,4.744824e+02
24,10,10,3.907955e+02
24,10,20,3.452440e+02
24,10,30,2.739887e+02
24,10,40,2.221709e+02
24,10,50,1.849643e+02
24,10,60,1.762198e+02
24,10,70,1.755773e+02
24,10,80,1.405554e+02
24,10,90,1.244959e+02
24,10,100,1.224164e+02
24,10,1,4.087143e+02
24,10,2,4.037712e+02
24,10,3,4.033382e+02
24,10,5,4.033382e+02
24,10,10,3.780956e+02
24,10,20,3.623030e+02
24,10,30,3.543833e+02
24,10,40,3.543833e+02
24,10,50,3.543833e+02
24,10,60,3.543833e+02
24,10,70,3.543833e+02
24,10,80,3.543833e+02
24,10,90,3.543833e+02
24,10,100,3.543833e+02
24,10,1,3.937167e+02
24,10,2,3.937157e+02
24,10,3,3.936030e+02
24,10,5,3.936030e+02
24,10,10,3.932292e+02
24,10,20,3.911157e+02
24,10,30,3.901354e+02
24,10,40,3.892801e+02
24,10,50,3.790675e+02
24,10,60,3.632040e+02
24,10,70,3.616669e+02
24,10,80,3.615548e+02
24,10,90,3.611411e+02
24,10,100,3.589562e+02
24,10,1,3.935556e+02
24,10,2,3.920312e+02
24,10,3,3.919943e+02
24,10,5,3.919943e+02
24,10,10,3.768371e+02
24,10,20,3.763149e+02
24,10,30,3.758399e+02
24,10,40,3.758050e+02
24,10,50,3.754868e+02
24,10,60,3.709567e+02
24,10,70,3.693374e+02
24,10,80,3.693370e+02
24,10,90,3.625326e+02
24,10,100,3.625293e+02
24,10,1,4.083668e+02
24,10,2,4.067921e+02
24,10,3,4.064138e+02
24,10,5,4.064138e+02
24,10,10,4.051819e+02
24,10,20,4.047897e+02
24,10,30,4.031945e+02
24,10,40,4.025779e+02
24,10,50,3.962441e+02
24,10,60,3.962441e+02
24,10,70,3.962239e+02
24,10,80,3.961527e+02
24,10,90,3.961523e+02
24,10,100,3.961505e+02
24,10,1,3.840335e+02
24,10,2,3.821045e+02
24,10,3,3.814987e+02
24,10,5,3.814987e+02
24,10,10,3.813260e+02
24,10,20,3.808171e+02
24,10,30,3.808170e+02
24,10,40,3.807646e+02
24,10,50,3.807644e+02
24,10,60,3.807643e+02
24,10,70,3.806487e+02
24,10,80,3.806486e+02
24,10,90,3.806486e+02
24,10,100,3.806486e+02
24,10,1,4.435183e+02
24,10,2,4.435183e+02
24,10,3,4.435068e+02
24,10,5,4.435068e+02
24,10,10,4.239712e+02
24,10,20,4.239712e+02
24,10,30,4.139201e+02
24,10,40,3.911110e+02
24,10,50,3.911110e+02
24,10,60,3.911109e+02
24,10,70,3.911083e+02
24,10,80,3.911012e+02
24,10,90,3.910404e+02
24,10,100,3.909946e+02
