funcid,dim,milestone,error
16,10,1,3.953718e+02
16,10,2,3.271804e+02
16,10,3,3.271757e+02
16,10,5,3.271757e+02
16,10,10,2.493704e+02
16,10,20,2.493704e+02
16,10,30,2.493704e+02
16,10,40,2.493704e+02
16,10,50,2.493704e+02
16,10,60,2.493704e+02
16,10,70,2.493704e+02
16,10,80,2.493704e+02
16,10,90,2.493704e+02
16,10,100,2.493704e+02
16,10,1,5.235862e+02
16,10,2,4.270310e+02
16,10,3,4.248613e+02
16,10,5,4.248613e+02
16,10,10,4.246357e+02
16,10,20,4.246200e+02
16,10,30,2.294453e+02
16,10,40,2.246457e+02
16,10,50,2.238680e+02
16,10,60,1.529303e+02
16,10,70,1.529303e+02
16,10,80,1.529303e+02
16,10,90,1.528691e+02
16,10,100,1.479331e+02
16,10,1,8.479762e+02
16,10,2,7.721277e+02
16,10,3,6.468496e+02
16,10,5,6.468496e+02
16,10,10,2.746840e+02
16,10,20,2.712793e+02
16,10,30,1.219427e+02
16,10,40,1.219258e+02
16,10,50,1.219241e+02
16,10,60,1.217963e+02
16,10,70,1.217540e+02
16,10,80,1.217537e+02
16,10,90,1.217537e+02
16,10,100,1.217537e+02
16,10,1,5.712657e+02
16,10,2,5.712657e+02
16,10,3,5.712657e+02
16,10,5,5.712657e+02
16,10,10,4.731494e+02
16,10,20,4.716735e+02
16,10,30,2.658789e+02
16,10,40,7.172493e+01
16,10,50,4.035503e+01
16,10,60,4.035503e+01
16,10,70,4.007657e+01
16,10,80,4.007657e+01
16,10,90,4.007657e+01
16,10,100,4.006653e+01
16,10,1,5.332223e+02
16,10,2,5.024697e+02
16,10,3,4.908413e+02
16,10,5,4.908413e+02
16,10,10,4.858059e+02
16,10,20,3.530559e+02
16,10,30,3.510415e+02
16,10,40,3.510381e+02
16,10,50,3.510381e+02
16,10,60,2.965158e+02
16,10,70,2.965158e+02
16,10,80,2.965158e+02
16,10,90,2.965158e+02
16,10,100,2.960897e+02
16,10,1,4.027338e+02
16,10,2,4.000455e+02
16,10,3,3.952724e+02
16,10,5,3.756202e+02
16,10,10,3.692082e+02
16,10,20,2.832506e+02
16,10,30,2.556234e+02
16,10,40,2.551314e+02
16,10,50,2.327924e+02
16,10,60,2.322913e+02
16,10,70,1.923073e+02
16,10,80,1.893585e+02
16,10,90,1.892237e+02
16,10,100,1.892012e+02
16,10,1,5.886046e+02
16,10,2,5.884555e+02
16,10,3,5.883381e+02
16,10,5,5.883381e+02
16,10,10,1.794789e+02
16,10,20,1.791582e+02
16,10,30,1.791095e+02
16,10,40,1.769698e+02
16,10,50,1.751574e+02
16,10,60,1.747488e+02
16,10,70,1.747455e+02
16,10,80,1.747455e+02
16,10,90,1.747455e+02
16,10,100,1.747380e+02
16,10,1,5.976568e+02
16,10,2,5.512429e+02
16,10,3,5.323407e+02
16,10,5,5.043900e+02
16,10,10,5.043736e+02
16,10,20,3.802518e+02
16,10,30,3.770084e+02
16,10,40,3.766923e+02
16,10,50,3.766923e+02
16,10,60,3.766923e+02
16,10,70,3.763011e+02
16,10,80,3.763011e+02
16,10,90,3.763011e+02
16,10,100,3.763011e+02
16,10,1,3.882850e+02
16,10,2,3.881414e+02
16,10,3,3.878520e+02
16,10,5,3.878520e+02
16,10,10,3.842591e+02
16,10,20,3.823069e+02
16,10,30,3.774444e+02
16,10,40,3.774430e+02
16,10,50,2.863613e+02
16,10,60,2.757885e+02
16,10,70,2.757885e+02
16,10,80,2.757700e+02
16,10,90,2.757614e+02
16,10,100,2.741800e+02
16,10,1,1.681661e+02
16,10,2,1.616334e+02
16,10,3,1.599344e+02
16,10,5,1.599344e+02
16,10,10,1.380711e+02
16,10,20,1.380667e+02
16,10,30,1.375016e+02
16,10,40,1.367039e+02
16,10,50,1.366668e+02
16,10,60,1.319498e+02
16,10,70,1.315919e+02
16,10,80,1.315919e+02
16,10,90,1.315909e+02
16,10,100,1.296018e+02
