funcid,dim,milestone,error
13,10,1,6.457714e+03
13,10,2,6.456370e+03
13,10,3,6.397649e+03
13,10,5,6.397649e+03
13,10,10,6.337753e+03
13,10,20,4.965362e+03
13,10,30,4.471224e+03
13,10,40,3.988494e+03
13,10,50,3.731123e+03
13,10,60,3.692567e+03
13,10,70,3.656978e+03
13,10,80,3.568791e+03
13,10,90,3.548066e+03
13,10,100,3.543285e+03
13,10,1,7.539044e+06
13,10,2,7.539019e+06
13,10,3,7.539019e+06
13,10,5,6.766377e+03
13,10,10,6.766377e+03
13,10,20,1.810094e+03
13,10,30,1.613249e+03
13,10,40,1.545907e+03
13,10,50,1.439453e+03
13,10,60,1.421891e+03
13,10,70,1.403296e+03
13,10,80,1.390323e+03
13,10,90,1.387918e+03
13,10,100,1.387875e+03
13,10,1,6.467650e+04
13,10,2,6.462944e+04
13,10,3,6.462671e+04
13,10,5,6.462671e+04
13,10,10,1.186600e+04
13,10,20,1.185509e+04
13,10,30,1.185353e+04
13,10,40,1.183219e+04
13,10,50,1.023542e+04
13,10,60,1.019978e+04
13,10,70,1.018082e+04
13,10,80,1.018082e+04
13,10,90,1.018081e+04
13,10,100,1.018081e+04
13,10,1,3.967373e+07
13,10,2,3.967373e+07
13,10,3,4.500203e+06
13,10,5,9.824368e+04
13,10,10,9.824368e+04
13,10,20,1.564056e+04
13,10,30,1.534198e+04
13,10,40,1.486082e+04
13,10,50,1.462702e+04
13,10,60,1.454969e+04
13,10,70,1.452660e+04
13,10,80,1.451267e+04
13,10,90,8.931929e+03
13,10,100,8.929346e+03
13,10,1,5.169500e+07
13,10,2,5.169500e+07
13,10,3,2.303938e+06
13,10,5,1.121265e+04
13,10,10,1.121265e+04
13,10,20,1.103220e+04
13,10,30,1.101157e+04
13,10,40,1.099259e+04
13,10,50,1.099090e+04
13,10,60,1.099065e+04
13,10,70,1.099063e+04
13,10,80,1.099055e+04
13,10,90,1.099052e+04
13,10,100,1.099050e+04
13,10,1,1.910994e+04
13,10,2,1.910004e+04
13,10,3,1.907016e+04
13,10,5,1.907016e+04
13,10,10,1.906980e+04
13,10,20,1.436850e+04
13,10,30,5.744567e+03
13,10,40,5.743762e+03
13,10,50,5.741210e+03
13,10,60,5.740455e+03
13,10,70,5.740455e+03
13,10,80,5.740455e+03
13,10,90,5.740455e+03
13,10,100,5.740455e+03
13,10,1,2.952692e+06
13,10,2,6.765676e+03
13,10,3,6.763274e+03
13,10,5,6.763274e+03
13,10,10,6.759267e+03
13,10,20,6.715447e+03
13,10,30,6.633183e+03
13,10,40,6.629707e+03
13,10,50,6.534508e+03
13,10,60,6.522003e+03
13,10,70,6.520266e+03
13,10,80,6.407016e+03
13,10,90,6.329889e+03
13,10,100,4.649952e+03
13,10,1,1.111963e+04
13,10,2,1.111602e+04
13,10,3,1.111602e+04
13,10,5,1.111602e+04
13,10,10,1.111599e+04
13,10,20,1.034292e+04
13,10,30,1.027667e+04
13,10,40,1.022738e+04
13,10,50,1.015932e+04
13,10,60,1.015927e+04
13,10,70,1.015927e+04
13,10,80,1.015927e+04
13,10,90,1.015927e+04
13,10,100,1.015926e+04
13,10,1,3.401233e+02
13,10,2,3.398544e+02
13,10,3,3.376621e+02
13,10,5,3.376621e+02
13,10,10,3.264945e+02
13,10,20,3.170767e+02
13,10,30,3.125762e+02
13,10,40,3.063973e+02
13,10,50,3.063024e+02
13,10,60,3.063024e+02
13,10,70,2.624798e+02
13,10,80,2.623693e+02
13,10,90,2.623693e+02
13,10,100,2.623479e+02
13,10,1,3.885682e+04
13,10,2,3.867469e+04
13,10,3,3.867063e+04
13,10,5,3.867063e+04
13,10,10,1.210200e+03
13,10,20,1.176561e+03
13,10,30,1.175064e+03
13,10,40,1.175058e+03
13,10,50,1.175058e+03
13,10,60,1.175058e+03
13,10,70,1.175058e+03
13,10,80,1.175058e+03
13,10,90,1.175058e+03
13,10,100,1.175058e+03
