funcid,dim,milestone,error
16,30,1,1.169491e+03
16,30,2,9.114037e+02
16,30,3,9.045614e+02
16,30,5,9.045614e+02
16,30,10,7.929957e+02
16,30,20,7.895916e+02
16,30,30,7.892645e+02
16,30,40,7.812902e+02
16,30,50,7.811878e+02
16,30,60,7.799630e+02
16,30,70,7.781505e+02
16,30,80,7.780623e+02
16,30,90,7.527084e+02
16,30,100,7.517527e+02
16,30,1,2.401203e+03
16,30,2,1.838080e+03
16,30,3,1.806115e+03
16,30,5,1.806115e+03
16,30,10,1.706414e+03
16,30,20,1.592530e+03
16,30,30,1.550877e+03
16,30,40,1.547727e+03
16,30,50,1.499005e+03
16,30,60,1.436114e+03
16,30,70,1.435415e+03
16,30,80,1.435352e+03
16,30,90,1.434318e+03
16,30,100,1.431803e+03
16,30,1,2.633041e+03
16,30,2,2.144253e+03
16,30,3,2.137939e+03
16,30,5,2.137939e+03
16,30,10,1.808915e+03
16,30,20,1.670457e+03
16,30,30,1.660568e+03
16,30,40,1.625734e+03
16,30,50,1.613796e+03
16,30,60,1.600060e+03
16,30,70,1.519555e+03
16,30,80,1.514049e+03
16,30,90,1.423444e+03
16,30,100,1.389641e+03
16,30,1,2.964872e+03
16,30,2,2.609887e+03
16,30,3,2.482110e+03
16,30,5,2.482110e+03
16,30,10,2.468992e+03
16,30,20,2.456717e+03
16,30,30,1.577274e+03
16,30,40,1.523068e+03
16,30,50,1.507918e+03
16,30,60,1.421939e+03
16,30,70,1.419077e+03
16,30,80,1.416082e+03
16,30,90,1.403757e+03
16,30,100,1.400197e+03
16,30,1,1.887175e+03
16,30,2,1.645265e+03
16,30,3,1.627164e+03
16,30,5,1.627164e+03
16,30,10,1.624857e+03
16,30,20,1.606775e+03
16,30,30,1.571682e+03
16,30,40,1.509907e+03
16,30,50,1.409676e+03
16,30,60,1.342810e+03
16,30,70,1.307168e+03
16,30,80,1.267976e+03
16,30,90,1.237358e+03
16,30,100,1.225064e+03
16,30,1,1.873635e+03
16,30,2,1.404297e+03
16,30,3,1.399172e+03
16,30,5,1.399172e+03
16,30,10,1.309977e+03
16,30,20,1.306649e+03
16,30,30,1.304594e+03
16,30,40,1.282782e+03
16,30,50,9.295892e+02
16,30,60,8.383878e+02
16,30,70,8.361982e+02
16,30,80,8.014446e+02
16,30,90,7.864451e+02
16,30,100,7.710672e+02
16,30,1,1.697804e+03
16,30,2,1.644792e+03
16,30,3,1.617450e+03
16,30,5,1.617450e+03
16,30,10,1.601669e+03
16,30,20,1.600668e+03
16,30,30,1.417246e+03
16,30,40,1.410931e+03
16,30,50,1.391262e+03
16,30,60,1.383654e+03
16,30,70,1.343275e+03
16,30,80,1.342504e+03
16,30,90,1.329979e+03
16,30,100,1.328933e+03
16,30,1,2.159706e+03
16,30,2,1.953933e+03
16,30,3,1.924311e+03
16,30,5,1.924311e+03
16,30,10,1.708636e+03
16,30,20,1.555929e+03
16,30,30,1.362034e+03
16,30,40,1.182037e+03
16,30,50,1.179443e+03
16,30,60,1.159886e+03
16,30,70,1.159121e+03
16,30,80,1.142550e+03
16,30,90,1.040958e+03
16,30,100,1.037216e+03
16,30,1,2.368065e+03
16,30,2,2.151414e+03
16,30,3,2.001424e+03
16,30,5,2.001424e+03
16,30,10,1.964869e+03
16,30,20,1.801970e+03
16,30,30,1.581500e+03
16,30,40,1.505078e+03
16,30,50,1.501644e+03
16,30,60,1.334718e+03
16,30,70,1.132369e+03
16,30,80,1.127226e+03
16,30,90,1.115027e+03
16,30,100,1.111753e+03
16,30,1,1.235510e+03
16,30,2,1.184635e+03
16,30,3,1.166051e+03
16,30,5,1.166051e+03
16,30,10,1.040338e+03
16,30,20,1.004859e+03
16,30,30,1.001175e+03
16,30,40,1.000083e+03
16,30,50,9.554362e+02
16,30,60,9.530532e+02
16,30,70,8.887623e+02
16,30,80,8.886481e+02
16,30,90,8.862323e+02
16,30,100,8.731514e+02
