funcid,dim,milestone,error
27,30,1,6.813297e+02
27,30,2,6.813297e+02
27,30,3,6.813297e+02
27,30,5,6.813297e+02
27,30,10,5.815628e+02
27,30,20,5.791309e+02
27,30,30,5.687849e+02
27,30,40,5.659097e+02
27,30,50,5.628780e+02
27,30,60,5.627125e+02
27,30,70,5.618593e+02
27,30,80,5.612247e+02
27,30,90,5.610338e+02
27,30,100,5.610328e+02
27,30,1,6.980730e+02
27,30,2,6.660290e+02
27,30,3,6.615730e+02
27,30,5,6.615730e+02
27,30,10,6.367691e+02
27,30,20,6.020133e+02
27,30,30,5.946151e+02
27,30,40,5.873833e+02
27,30,50,5.868272e+02
27,30,60,5.834497e+02
27,30,70,5.834463e+02
27,30,80,5.832082e+02
27,30,90,5.830841e+02
27,30,100,5.827453e+02
27,30,1,7.020815e+02
27,30,2,6.800499e+02
27,30,3,6.795816e+02
27,30,5,6.795816e+02
27,30,10,5.899317e+02
27,30,20,5.744963e+02
27,30,30,5.672625e+02
27,30,40,5.662785e+02
27,30,50,5.655378e+02
27,30,60,5.655378e+02
27,30,70,5.653244e+02
27,30,80,5.653062e+02
27,30,90,5.646186e+02
27,30,100,5.645220e+02
27,30,1,6.698408e+02
27,30,2,6.328188e+02
27,30,3,6.316334e+02
27,30,5,6.316334e+02
27,30,10,5.978395e+02
27,30,20,5.858885e+02
27,30,30,5.802201e+02
27,30,40,5.797682e+02
27,30,50,5.765841e+02
27,30,60,5.761715e+02
27,30,70,5.758118e+02
27,30,80,5.757683e+02
27,30,90,5.757683e+02
27,30,100,5.756604e+02
27,30,1,6.695193e+02
27,30,2,6.641313e+02
27,30,3,6.638323e+02
27,30,5,6.638323e+02
27,30,10,6.129008e+02
27,30,20,5.644972e+02
27,30,30,5.575400e+02
27,30,40,5.553599e+02
27,30,50,5.548663e+02
27,30,60,5.522319e+02
27,30,70,5.516555e+02
27,30,80,5.513316e+02
27,30,90,5.512058e+02
27,30,100,5.511862e+02
27,30,1,6.396587e+02
27,30,2,6.277895e+02
27,30,3,6.269762e+02
27,30,5,6.269762e+02
27,30,10,6.212979e+02
27,30,20,6.189406e+02
27,30,30,5.869395e+02
27,30,40,5.805543e+02
27,30,50,5.744644e+02
27,30,60,5.741530e+02
27,30,70,5.733665e+02
27,30,80,5.731858e+02
27,30,90,5.730773e+02
27,30,100,5.730690e+02
27,30,1,6.573546e+02
27,30,2,6.445495e+02
27,30,3,6.443569e+02
27,30,5,6.443569e+02
27,30,10,6.036013e+02
27,30,20,5.838364e+02
27,30,30,5.814819e+02
27,30,40,5.808374e+02
27,30,50,5.807290e+02
27,30,60,5.806974e+02
27,30,70,5.806854e+02
27,30,80,5.806663e+02
27,30,90,5.806569e+02
27,30,100,5.806452e+02
27,30,1,6.859002e+02
27,30,2,6.642057e+02
27,30,3,6.631881e+02
27,30,5,6.631881e+02
27,30,10,5.696277e+02
27,30,20,5.553473e+02
27,30,30,5.514191e+02
27,30,40,5.484639e+02
27,30,50,5.484118e+02
27,30,60,5.483553e+02
27,30,70,5.477227e+02
27,30,80,5.476419e+02
27,30,90,5.476396e+02
27,30,100,5.476396e+02
27,30,1,6.981288e+02
27,30,2,6.809322e+02
27,30,3,6.766883e+02
27,30,5,6.766883e+02
27,30,10,5.734137e+02
27,30,20,5.616175e+02
27,30,30,5.578024e+02
27,30,40,5.559348e+02
27,30,50,5.558688e+02
27,30,60,5.555768e+02
27,30,70,5.555745e+02
27,30,80,5.555199e+02
27,30,90,5.555199e+02
27,30,100,5.555199e+02
27,30,1,7.037226e+02
27,30,2,6.745552e+02
27,30,3,6.738986e+02
27,30,5,6.738986e+02
27,30,10,5.643601e+02
27,30,20,5.500779e+02
27,30,30,5.486486e+02
27,30,40,5.482009e+02
27,30,50,5.479877e+02
27,30,60,5.479368e+02
27,30,70,5.473886e+02
27,30,80,5.473106e+02
27,30,90,5.460762e+02
27,30,100,5.458998e+02
