funcid,dim,milestone,error
24,10,1,3.811811e+02
24,10,2,3.807619e+02
24,10,3,3.807426e+02
24,10,5,3.807426e+02
24,10,10,3.784844e+02
24,10,20,3.662699e+02
24,10,30,3.662699e+02
24,10,40,3.662699e+02
24,10,50,3.662699e+02
24,10,60,3.662699e+02
24,10,70,3.662699e+02
24,10,80,3.662699e+02
24,10,90,3.662699e+02
24,10,100,3.662699e+02
24,10,1,3.982970e+02
24,10,2,3.974696e+02
24,10,3,3.974340e+02
24,10,5,3.974340e+02
24,10,10,3.888591e+02
24,10,20,1.115291e+02
24,10,30,1.013772e+02
24,10,40,1.000000e+02
24,10,50,1.000000e+02
24,10,60,1.000000e+02
24,10,70,1.000000e+02
24,10,80,1.000000e+02
24,10,90,1.000000e+02
24,10,100,1.000000e+02
24,10,1,3.721072e+02
24,10,2,3.705584e+02
24,10,3,3.654255e+02
24,10,5,3.654255e+02
24,10,10,3.612035e+02
24,10,20,3.495863e+02
24,10,30,3.495863e+02
24,10,40,3.495863e+02
24,10,50,3.495863e+02
24,10,60,3.495863e+02
24,10,70,3.495863e+02
24,10,80,3.495863e+02
24,10,90,3.495863e+02
24,10,100,3.495863e+02
24,10,1,3.668073e+02
24,10,2,3.659612e+02
24,10,3,3.657921e+02
24,10,5,3.657921e+02
24,10,10,3.618461e+02
24,10,20,1.003235e+02
24,10,30,1.001627e+02
24,10,40,1.000000e+02
24,10,50,1.000000e+02
24,10,60,1.000000e+02
24,10,70,1.000000e+02
24,10,80,1.000000e+02
24,10,90,1.000000e+02
24,10,100,1.000000e+02
24,10,1,3.876956e+02
24,10,2,3.863840e+02
24,10,3,3.857380e+02
24,10,5,3.857380e+02
24,10,10,1.672288e+02
24,10,20,1.000024e+02
24,10,30,1.000023e+02
24,10,40,1.000022e+02
24,10,50,1.000022e+02
24,10,60,1.000022e+02
24,10,70,1.000022e+02
24,10,80,1.000022e+02
24,10,90,1.000022e+02
24,10,100,1.000022e+02
24,10,1,3.654760e+02
24,10,2,3.549324e+02
24,10,3,3.524131e+02
24,10,5,3.524131e+02
24,10,10,3.519058e+02
24,10,20,1.120185e+02
24,10,30,1.022709e+02
24,10,40,1.000000e+02
24,10,50,1.000000e+02
24,10,60,1.000000e+02
24,10,70,1.000000e+02
24,10,80,1.000000e+02
24,10,90,1.000000e+02
24,10,100,1.000000e+02
24,10,1,2.873535e+02
24,10,2,2.847460e+02
24,10,3,2.836891e+02
24,10,5,2.836891e+02
24,10,10,2.769430e+02
24,10,20,1.325106e+02
24,10,30,1.182535e+02
24,10,40,1.000000e+02
24,10,50,1.000000e+02
24,10,60,1.000000e+02
24,10,70,1.000000e+02
24,10,80,1.000000e+02
24,10,90,1.000000e+02
24,10,100,1.000000e+02
24,10,1,3.782495e+02
24,10,2,3.731258e+02
24,10,3,3.726678e+02
24,10,5,3.726678e+02
24,10,10,3.664883e+02
24,10,20,3.588238e+02
24,10,30,3.588238e+02
24,10,40,3.588238e+02
24,10,50,3.588238e+02
24,10,60,3.588238e+02
24,10,70,3.588238e+02
24,10,80,3.588238e+02
24,10,90,3.588238e+02
24,10,100,3.588238e+02
24,10,1,4.512870e+02
24,10,2,4.440498e+02
24,10,3,4.438245e+02
24,10,5,4.438245e+02
24,10,10,3.992802e+02
24,10,20,3.896584e+02
24,10,30,3.896584e+02
24,10,40,3.896584e+02
24,10,50,3.896584e+02
24,10,60,3.896584e+02
24,10,70,3.896584e+02
24,10,80,3.896584e+02
24,10,90,3.896584e+02
24,10,100,3.896584e+02
24,10,1,4.203364e+02
24,10,2,4.136904e+02
24,10,3,4.135874e+02
24,10,5,4.135874e+02
24,10,10,3.888648e+02
24,10,20,3.887864e+02
24,10,30,3.887864e+02
24,10,40,3.682322e+02
24,10,50,3.675864e+02
24,10,60,3.673957e+02
24,10,70,3.672195e+02
24,10,80,3.671684e+02
24,10,90,3.671672e+02
24,10,100,3.671660e+02
