funcid,dim,milestone,error
23,10,1,3.621538e+02
23,10,2,3.619946e+02
23,10,3,3.619904e+02
23,10,5,3.619904e+02
23,10,10,3.394535e+02
23,10,20,3.392158e+02
23,10,30,3.384222e+02
23,10,40,3.383244e+02
23,10,50,3.382763e+02
23,10,60,3.369763e+02
23,10,70,3.368096e+02
23,10,80,3.366035e+02
23,10,90,3.365892e+02
23,10,100,3.363403e+02
23,10,1,3.474198e+02
23,10,2,3.445690e+02
23,10,3,3.437577e+02
23,10,5,3.437577e+02
23,10,10,3.434582e+02
23,10,20,3.366646e+02
23,10,30,3.364488e+02
23,10,40,3.361191e+02
23,10,50,3.358839e+02
23,10,60,3.357499e+02
23,10,70,3.355857e+02
23,10,80,3.351802e+02
23,10,90,3.349274e+02
23,10,100,3.348406e+02
23,10,1,3.361705e+02
23,10,2,3.337944e+02
23,10,3,3.327692e+02
23,10,5,3.327692e+02
23,10,10,3.325022e+02
23,10,20,3.305433e+02
23,10,30,3.303745e+02
23,10,40,3.286844e+02
23,10,50,3.286068e+02
23,10,60,3.257273e+02
23,10,70,3.254921e+02
23,10,80,3.238965e+02
23,10,90,3.238720e+02
23,10,100,3.232905e+02
23,10,1,3.429800e+02
23,10,2,3.303134e+02
23,10,3,3.300724e+02
23,10,5,3.300724e+02
23,10,10,3.237427e+02
23,10,20,3.198215e+02
23,10,30,3.197801e+02
23,10,40,3.193779e+02
23,10,50,3.193543e+02
23,10,60,3.192048e+02
23,10,70,3.192032e+02
23,10,80,3.191472e+02
23,10,90,3.191433e+02
23,10,100,3.191048e+02
23,10,1,3.519559e+02
23,10,2,3.518486e+02
23,10,3,3.517310e+02
23,10,5,3.517310e+02
23,10,10,3.387294e+02
23,10,20,3.287139e+02
23,10,30,3.284995e+02
23,10,40,3.282192e+02
23,10,50,3.280319e+02
23,10,60,3.279676e+02
23,10,70,3.279658e+02
23,10,80,3.277991e+02
23,10,90,3.275308e+02
23,10,100,3.272346e+02
23,10,1,3.304793e+02
23,10,2,3.203827e+02
23,10,3,3.188159e+02
23,10,5,3.188159e+02
23,10,10,3.175974e+02
23,10,20,3.170372e+02
23,10,30,3.170372e+02
23,10,40,3.169966e+02
23,10,50,3.169966e+02
23,10,60,3.169897e+02
23,10,70,3.169897e+02
23,10,80,3.169482e+02
23,10,90,3.169471e+02
23,10,100,3.169187e+02
23,10,1,3.385148e+02
23,10,2,3.298832e+02
23,10,3,3.298492e+02
23,10,5,3.298492e+02
23,10,10,3.291858e+02
23,10,20,3.257140e+02
23,10,30,3.256463e+02
23,10,40,3.248461e+02
23,10,50,3.248253e+02
23,10,60,3.247002e+02
23,10,70,3.246980e+02
23,10,80,3.246812e+02
23,10,90,3.246812e+02
23,10,100,3.246812e+02
23,10,1,4.411105e+02
23,10,2,4.261625e+02
23,10,3,4.226923e+02
23,10,5,4.226923e+02
23,10,10,3.551659e+02
23,10,20,3.551659e+02
23,10,30,3.551659e+02
23,10,40,3.551659e+02
23,10,50,3.551659e+02
23,10,60,3.551659e+02
23,10,70,3.551659e+02
23,10,80,3.551659e+02
23,10,90,3.551659e+02
23,10,100,3.551659e+02
23,10,1,3.492610e+02
23,10,2,3.461586e+02
23,10,3,3.452481e+02
23,10,5,3.452481e+02
23,10,10,3.325613e+02
23,10,20,3.242453e+02
23,10,30,3.222433e+02
23,10,40,3.192486e+02
23,10,50,3.181464e+02
23,10,60,3.179425e+02
23,10,70,3.179416e+02
23,10,80,3.179405e+02
23,10,90,3.179403e+02
23,10,100,3.179367e+02
23,10,1,3.653100e+02
23,10,2,3.638502e+02
23,10,3,3.588168e+02
23,10,5,3.588168e+02
23,10,10,3.344576e+02
23,10,20,3.283052e+02
23,10,30,3.282217e+02
23,10,40,3.280828e+02
23,10,50,3.280828e+02
23,10,60,3.280300e+02
23,10,70,3.280300e+02
23,10,80,3.280219e+02
23,10,90,3.280219e+02
23,10,100,3.280219e+02
