funcid,dim,milestone,error
12,10,1,6.378199e+05
12,10,2,6.320969e+05
12,10,3,6.101390e+05
12,10,5,6.101390e+05
12,10,10,5.994704e+05
12,10,20,2.031268e+05
12,10,30,1.954324e+05
12,10,40,1.701809e+05
12,10,50,1.658384e+05
12,10,60,1.433259e+05
12,10,70,1.406481e+05
12,10,80,1.227785e+05
12,10,90,1.170408e+05
12,10,100,1.033916e+05
12,10,1,2.797967e+06
12,10,2,2.468953e+06
12,10,3,1.949603e+06
12,10,5,1.949603e+06
12,10,10,1.940271e+06
12,10,20,1.376950e+05
12,10,30,1.376950e+05
12,10,40,1.259968e+05
12,10,50,1.259839e+05
12,10,60,1.108105e+05
12,10,70,1.082026e+05
12,10,80,9.480465e+04
12,10,90,9.216822e+04
12,10,100,8.239960e+04
12,10,1,1.861023e+07
12,10,2,1.778085e+07
12,10,3,1.777628e+07
12,10,5,1.777628e+07
12,10,10,1.643992e+07
12,10,20,9.572427e+05
12,10,30,9.402582e+05
12,10,40,8.425667e+05
12,10,50,8.100576e+05
12,10,60,7.035412e+05
12,10,70,7.035412e+05
12,10,80,6.271747e+05
12,10,90,5.838918e+05
12,10,100,5.163630e+05
12,10,1,9.472333e+05
12,10,2,9.453350e+05
12,10,3,3.937415e+05
12,10,5,3.937415e+05
12,10,10,3.827620e+05
12,10,20,3.300155e+05
12,10,30,3.275600e+05
12,10,40,2.862605e+05
12,10,50,2.804345e+05
12,10,60,2.482973e+05
12,10,70,2.482973e+05
12,10,80,2.482973e+05
12,10,90,2.482973e+05
12,10,100,2.148638e+05
12,10,1,6.197855e+06
12,10,2,5.493957e+06
12,10,3,5.468658e+06
12,10,5,1.650558e+06
12,10,10,1.648921e+06
12,10,20,1.430913e+06
12,10,30,1.395053e+06
12,10,40,1.203106e+06
12,10,50,1.179233e+06
12,10,60,1.028215e+06
12,10,70,1.006627e+06
12,10,80,8.889600e+05
12,10,90,8.494021e+05
12,10,100,7.582886e+05
12,10,1,1.032058e+05
12,10,2,1.023257e+05
12,10,3,1.002372e+05
12,10,5,1.002372e+05
12,10,10,9.989522e+04
12,10,20,9.186352e+04
12,10,30,9.186352e+04
12,10,40,8.743277e+04
12,10,50,8.730587e+04
12,10,60,8.052094e+04
12,10,70,7.958173e+04
12,10,80,6.792974e+04
12,10,90,6.521546e+04
12,10,100,5.823186e+04
12,10,1,1.530150e+07
12,10,2,6.236932e+06
12,10,3,6.002464e+06
12,10,5,6.002464e+06
12,10,10,3.866480e+06
12,10,20,5.318652e+05
12,10,30,5.312475e+05
12,10,40,4.720715e+05
12,10,50,1.932448e+05
12,10,60,1.001778e+05
12,10,70,9.819145e+04
12,10,80,8.598115e+04
12,10,90,6.467161e+04
12,10,100,4.836938e+04
12,10,1,1.796712e+07
12,10,2,1.781942e+07
12,10,3,1.781266e+07
12,10,5,1.781266e+07
12,10,10,1.445991e+07
12,10,20,6.366586e+06
12,10,30,6.134734e+06
12,10,40,5.350335e+06
12,10,50,5.146834e+06
12,10,60,4.477125e+06
12,10,70,4.224178e+06
12,10,80,3.688263e+06
12,10,90,3.610894e+06
12,10,100,3.135981e+06
12,10,1,3.057479e+07
12,10,2,2.053676e+07
12,10,3,1.956260e+07
12,10,5,1.956260e+07
12,10,10,1.612819e+07
12,10,20,9.342126e+04
12,10,30,9.075620e+04
12,10,40,8.270565e+04
12,10,50,8.187077e+04
12,10,60,7.187189e+04
12,10,70,7.143279e+04
12,10,80,6.211114e+04
12,10,90,6.012317e+04
12,10,100,5.350135e+04
12,10,1,8.231126e+05
12,10,2,1.279248e+05
12,10,3,1.262479e+05
12,10,5,1.262479e+05
12,10,10,1.248485e+05
12,10,20,1.119161e+05
12,10,30,1.111027e+05
12,10,40,1.003599e+05
12,10,50,9.925635e+04
12,10,60,4.770408e+04
12,10,70,4.764569e+04
12,10,80,4.231358e+04
12,10,90,4.231358e+04
12,10,100,4.231358e+04
