funcid,dim,milestone,error
6,30,1,3.230441e+01
6,30,2,2.774177e+01
6,30,3,2.736407e+01
6,30,5,2.736407e+01
6,30,10,1.574722e+01
6,30,20,4.432306e+00
6,30,30,3.679446e+00
6,30,40,2.424940e+00
6,30,50,1.825727e+00
6,30,60,1.359574e+00
6,30,70,1.359498e+00
6,30,80,1.322361e+00
6,30,90,1.239324e+00
6,30,100,1.191092e+00
6,30,1,4.984361e+01
6,30,2,4.463012e+01
6,30,3,4.414701e+01
6,30,5,4.414701e+01
6,30,10,2.390843e+01
6,30,20,5.293250e+00
6,30,30,3.879091e+00
6,30,40,2.087495e+00
6,30,50,1.187135e+00
6,30,60,1.099426e+00
6,30,70,8.658886e-01
6,30,80,8.339329e-01
6,30,90,7.263147e-01
6,30,100,6.939335e-01
6,30,1,1.882528e+01
6,30,2,1.397583e+01
6,30,3,1.311482e+01
6,30,5,1.311482e+01
6,30,10,8.787675e+00
6,30,20,4.349370e+00
6,30,30,2.654603e+00
6,30,40,1.701620e+00
6,30,50,1.504781e+00
6,30,60,1.157080e+00
6,30,70,9.474990e-01
6,30,80,4.884862e-01
6,30,90,4.629429e-01
6,30,100,4.211528e-01
6,30,1,2.989398e+01
6,30,2,2.714109e+01
6,30,3,2.661740e+01
6,30,5,2.661740e+01
6,30,10,1.727482e+01
6,30,20,3.660419e+00
6,30,30,2.511485e+00
6,30,40,2.093972e+00
6,30,50,1.384467e+00
6,30,60,1.043417e+00
6,30,70,9.831797e-01
6,30,80,7.961966e-01
6,30,90,5.302759e-01
6,30,100,3.492070e-01
6,30,1,2.341235e+01
6,30,2,2.076032e+01
6,30,3,2.052132e+01
6,30,5,2.052132e+01
6,30,10,1.700706e+01
6,30,20,1.047867e+01
6,30,30,4.627481e+00
6,30,40,2.617720e+00
6,30,50,1.434294e+00
6,30,60,1.003005e+00
6,30,70,6.901984e-01
6,30,80,3.029626e-01
6,30,90,2.477190e-01
6,30,100,1.470131e-01
6,30,1,2.927645e+01
6,30,2,2.455428e+01
6,30,3,2.361948e+01
6,30,5,2.361948e+01
6,30,10,1.577720e+01
6,30,20,1.402415e+01
6,30,30,1.197431e+01
6,30,40,8.427664e+00
6,30,50,6.246774e+00
6,30,60,5.354864e+00
6,30,70,4.018051e+00
6,30,80,3.240360e+00
6,30,90,3.237251e+00
6,30,100,2.951617e+00
6,30,1,3.723171e+01
6,30,2,2.448755e+01
6,30,3,2.294862e+01
6,30,5,2.294862e+01
6,30,10,1.176906e+01
6,30,20,5.465556e+00
6,30,30,4.379448e+00
6,30,40,3.462534e+00
6,30,50,2.545990e+00
6,30,60,1.453141e+00
6,30,70,1.232339e+00
6,30,80,1.022729e+00
6,30,90,1.009004e+00
6,30,100,8.905102e-01
6,30,1,2.917199e+01
6,30,2,2.230176e+01
6,30,3,2.120459e+01
6,30,5,2.120459e+01
6,30,10,1.441968e+01
6,30,20,3.929832e+00
6,30,30,1.433608e+00
6,30,40,9.805821e-01
6,30,50,8.643321e-01
6,30,60,7.766982e-01
6,30,70,7.320857e-01
6,30,80,5.300226e-01
6,30,90,4.395368e-01
6,30,100,3.682322e-01
6,30,1,2.302888e+01
6,30,2,1.761755e+01
6,30,3,1.670453e+01
6,30,5,1.670453e+01
6,30,10,1.493596e+01
6,30,20,6.912150e+00
6,30,30,3.961257e+00
6,30,40,1.681628e+00
6,30,50,1.308412e+00
6,30,60,9.664396e-01
6,30,70,8.269929e-01
6,30,80,7.485743e-01
6,30,90,7.484757e-01
6,30,100,5.973497e-01
6,30,1,2.112192e+01
6,30,2,1.928971e+01
6,30,3,1.916568e+01
6,30,5,1.916568e+01
6,30,10,8.493972e+00
6,30,20,2.632057e+00
6,30,30,1.394414e+00
6,30,40,9.012397e-01
6,30,50,6.395362e-01
6,30,60,4.784020e-01
6,30,70,3.554943e-01
6,30,80,3.442096e-01
6,30,90,2.626693e-01
6,30,100,2.508049e-01
