funcid,dim,milestone,error
11,30,1,4.270619e+03
11,30,2,3.719344e+03
11,30,3,3.674232e+03
11,30,5,3.674232e+03
11,30,10,3.031592e+03
11,30,20,1.054898e+02
11,30,30,9.777854e+01
11,30,40,9.164999e+01
11,30,50,8.981405e+01
11,30,60,8.302049e+01
11,30,70,8.256137e+01
11,30,80,8.160410e+01
11,30,90,7.418526e+01
11,30,100,6.902268e+01
11,30,1,8.660017e+03
11,30,2,8.519562e+03
11,30,3,8.347045e+03
11,30,5,8.347045e+03
11,30,10,6.907399e+03
11,30,20,9.640592e+01
11,30,30,6.620154e+01
11,30,40,5.336737e+01
11,30,50,5.266279e+01
11,30,60,5.062794e+01
11,30,70,4.980557e+01
11,30,80,4.904088e+01
11,30,90,4.898248e+01
11,30,100,4.881009e+01
11,30,1,8.395057e+03
11,30,2,7.862079e+03
11,30,3,7.785681e+03
11,30,5,7.785681e+03
11,30,10,4.737424e+03
11,30,20,1.066418e+02
11,30,30,8.600218e+01
11,30,40,7.456696e+01
11,30,50,7.437917e+01
11,30,60,7.066265e+01
11,30,70,6.029015e+01
11,30,80,6.029015e+01
11,30,90,6.021314e+01
11,30,100,5.962387e+01
11,30,1,1.411512e+04
11,30,2,1.401582e+04
11,30,3,1.401404e+04
11,30,5,1.122636e+04
11,30,10,2.406011e+03
11,30,20,1.495150e+02
11,30,30,1.451431e+02
11,30,40,1.441751e+02
11,30,50,1.438738e+02
11,30,60,1.436216e+02
11,30,70,1.435969e+02
11,30,80,1.390811e+02
11,30,90,1.380512e+02
11,30,100,1.358502e+02
11,30,1,1.634988e+04
11,30,2,1.622763e+04
11,30,3,1.139065e+04
11,30,5,8.349356e+03
11,30,10,4.022275e+03
11,30,20,1.102727e+02
11,30,30,1.064119e+02
11,30,40,1.021585e+02
11,30,50,1.014327e+02
11,30,60,1.010854e+02
11,30,70,1.010400e+02
11,30,80,1.009790e+02
11,30,90,1.009709e+02
11,30,100,1.009548e+02
11,30,1,9.212323e+03
11,30,2,9.099938e+03
11,30,3,9.099822e+03
11,30,5,8.930476e+03
11,30,10,3.684791e+03
11,30,20,1.902485e+02
11,30,30,1.021544e+02
11,30,40,6.629554e+01
11,30,50,6.177562e+01
11,30,60,6.035825e+01
11,30,70,6.000098e+01
11,30,80,5.990575e+01
11,30,90,5.986490e+01
11,30,100,5.984294e+01
11,30,1,2.358937e+04
11,30,2,2.319181e+04
11,30,3,1.125809e+04
11,30,5,7.426702e+03
11,30,10,6.702126e+03
11,30,20,1.681536e+02
11,30,30,1.499614e+02
11,30,40,1.161159e+02
11,30,50,1.154954e+02
11,30,60,8.014941e+01
11,30,70,6.855136e+01
11,30,80,5.424650e+01
11,30,90,5.346812e+01
11,30,100,5.277197e+01
11,30,1,1.159236e+04
11,30,2,1.118933e+04
11,30,3,1.101629e+04
11,30,5,1.101629e+04
11,30,10,7.599046e+02
11,30,20,1.540730e+02
11,30,30,1.532004e+02
11,30,40,1.519998e+02
11,30,50,1.266216e+02
11,30,60,1.031380e+02
11,30,70,9.659999e+01
11,30,80,9.479879e+01
11,30,90,9.428596e+01
11,30,100,9.421175e+01
11,30,1,1.927561e+04
11,30,2,1.910393e+04
11,30,3,3.886255e+03
11,30,5,2.729352e+03
11,30,10,2.573624e+03
11,30,20,2.010162e+02
11,30,30,1.910351e+02
11,30,40,1.808589e+02
11,30,50,1.700659e+02
11,30,60,1.687348e+02
11,30,70,1.675995e+02
11,30,80,1.674446e+02
11,30,90,1.671586e+02
11,30,100,1.649032e+02
11,30,1,1.841746e+04
11,30,2,1.789284e+04
11,30,3,1.563878e+04
11,30,5,1.193079e+04
11,30,10,7.513586e+03
11,30,20,1.769940e+02
11,30,30,1.689882e+02
11,30,40,1.670090e+02
11,30,50,1.666944e+02
11,30,60,1.648527e+02
11,30,70,1.592795e+02
11,30,80,1.586372e+02
11,30,90,1.584747e+02
11,30,100,1.526960e+02
