funcid,dim,milestone,error
22,30,1,5.944842e+03
22,30,2,5.594222e+03
22,30,3,5.570668e+03
22,30,5,5.570668e+03
22,30,10,2.935545e+02
22,30,20,1.039390e+02
22,30,30,1.039390e+02
22,30,40,1.039390e+02
22,30,50,1.039390e+02
22,30,60,1.039390e+02
22,30,70,1.039390e+02
22,30,80,1.039390e+02
22,30,90,1.039390e+02
22,30,100,1.039390e+02
22,30,1,5.980342e+03
22,30,2,5.268146e+03
22,30,3,5.229332e+03
22,30,5,5.229332e+03
22,30,10,5.070223e+03
22,30,20,4.965147e+03
22,30,30,4.961539e+03
22,30,40,4.883797e+03
22,30,50,4.794560e+03
22,30,60,4.751958e+03
22,30,70,4.455619e+03
22,30,80,4.301533e+03
22,30,90,4.293016e+03
22,30,100,4.279967e+03
22,30,1,2.594164e+03
22,30,2,2.544013e+03
22,30,3,2.533399e+03
22,30,5,2.533399e+03
22,30,10,2.507499e+03
22,30,20,1.356675e+02
22,30,30,1.356675e+02
22,30,40,1.003938e+02
22,30,50,1.001182e+02
22,30,60,1.000000e+02
22,30,70,1.000000e+02
22,30,80,1.000000e+02
22,30,90,1.000000e+02
22,30,100,1.000000e+02
22,30,1,1.069149e+03
22,30,2,9.752592e+02
22,30,3,9.516282e+02
22,30,5,9.516282e+02
22,30,10,8.660887e+02
22,30,20,1.505438e+02
22,30,30,1.380695e+02
22,30,40,1.000065e+02
22,30,50,1.000065e+02
22,30,60,1.000000e+02
22,30,70,1.000000e+02
22,30,80,1.000000e+02
22,30,90,1.000000e+02
22,30,100,1.000000e+02
22,30,1,5.168504e+03
22,30,2,5.134615e+03
22,30,3,5.096662e+03
22,30,5,5.096662e+03
22,30,10,4.748535e+03
22,30,20,4.000226e+03
22,30,30,4.000139e+03
22,30,40,3.999436e+03
22,30,50,3.999349e+03
22,30,60,3.999311e+03
22,30,70,3.999311e+03
22,30,80,3.999310e+03
22,30,90,3.999309e+03
22,30,100,3.999309e+03
22,30,1,1.244904e+03
22,30,2,1.183357e+03
22,30,3,1.167367e+03
22,30,5,1.167367e+03
22,30,10,9.595119e+02
22,30,20,1.170183e+02
22,30,30,1.146142e+02
22,30,40,1.000025e+02
22,30,50,1.000023e+02
22,30,60,1.000000e+02
22,30,70,1.000000e+02
22,30,80,1.000000e+02
22,30,90,1.000000e+02
22,30,100,1.000000e+02
22,30,1,5.373214e+03
22,30,2,4.501167e+03
22,30,3,4.327907e+03
22,30,5,4.327907e+03
22,30,10,3.949652e+02
22,30,20,1.416203e+02
22,30,30,1.252799e+02
22,30,40,1.048883e+02
22,30,50,1.048376e+02
22,30,60,1.048215e+02
22,30,70,1.048214e+02
22,30,80,1.048213e+02
22,30,90,1.048213e+02
22,30,100,1.048213e+02
22,30,1,2.638380e+03
22,30,2,2.595318e+03
22,30,3,2.577132e+03
22,30,5,2.577132e+03
22,30,10,3.161017e+02
22,30,20,1.010006e+02
22,30,30,1.003219e+02
22,30,40,1.000000e+02
22,30,50,1.000000e+02
22,30,60,1.000000e+02
22,30,70,1.000000e+02
22,30,80,1.000000e+02
22,30,90,1.000000e+02
22,30,100,1.000000e+02
22,30,1,4.959851e+03
22,30,2,4.417721e+03
22,30,3,4.406444e+03
22,30,5,4.406444e+03
22,30,10,4.232717e+03
22,30,20,4.060269e+03
22,30,30,3.715882e+03
22,30,40,3.710653e+03
22,30,50,3.710651e+03
22,30,60,3.710649e+03
22,30,70,3.710649e+03
22,30,80,3.710649e+03
22,30,90,3.710649e+03
22,30,100,3.710649e+03
22,30,1,5.836379e+03
22,30,2,5.657364e+03
22,30,3,5.556557e+03
22,30,5,5.556557e+03
22,30,10,4.987758e+03
22,30,20,3.164643e+03
22,30,30,2.837210e+03
22,30,40,2.767509e+03
22,30,50,2.638198e+03
22,30,60,2.548695e+03
22,30,70,2.523889e+03
22,30,80,2.516526e+03
22,30,90,2.506910e+03
22,30,100,2.505421e+03
