funcid,dim,milestone,error
13,10,1,5.589975e+03
13,10,2,5.560310e+03
13,10,3,5.557256e+03
13,10,5,5.557256e+03
13,10,10,5.424860e+03
13,10,20,1.734275e+03
13,10,30,1.707526e+03
13,10,40,1.686027e+03
13,10,50,1.670725e+03
13,10,60,1.669115e+03
13,10,70,1.668782e+03
13,10,80,1.668569e+03
13,10,90,1.668569e+03
13,10,100,1.668421e+03
13,10,1,1.992679e+03
13,10,2,1.981554e+03
13,10,3,1.981281e+03
13,10,5,1.981281e+03
13,10,10,1.979881e+03
13,10,20,1.979286e+03
13,10,30,1.940999e+03
13,10,40,1.868959e+03
13,10,50,1.865134e+03
13,10,60,1.864730e+03
13,10,70,1.864654e+03
13,10,80,1.864297e+03
13,10,90,1.864087e+03
13,10,100,1.863708e+03
13,10,1,2.354807e+03
13,10,2,2.336126e+03
13,10,3,2.329448e+03
13,10,5,2.329448e+03
13,10,10,1.594594e+02
13,10,20,5.854699e+01
13,10,30,3.896730e+01
13,10,40,3.896729e+01
13,10,50,3.249038e+01
13,10,60,2.983832e+01
13,10,70,2.965758e+01
13,10,80,2.952769e+01
13,10,90,2.908297e+01
13,10,100,2.858881e+01
13,10,1,3.913373e+06
13,10,2,8.194430e+04
13,10,3,1.736208e+04
13,10,5,8.466282e+03
13,10,10,8.466282e+03
13,10,20,1.068912e+03
13,10,30,1.067394e+03
13,10,40,1.066907e+03
13,10,50,1.066907e+03
13,10,60,1.066778e+03
13,10,70,1.026428e+03
13,10,80,1.026187e+03
13,10,90,1.026187e+03
13,10,100,9.503543e+02
13,10,1,6.177394e+02
13,10,2,5.515460e+02
13,10,3,5.491553e+02
13,10,5,5.491553e+02
13,10,10,4.807536e+02
13,10,20,4.771808e+02
13,10,30,4.664643e+02
13,10,40,4.399063e+02
13,10,50,3.790581e+02
13,10,60,3.788348e+02
13,10,70,3.606425e+02
13,10,80,3.591048e+02
13,10,90,3.591009e+02
13,10,100,2.660555e+02
13,10,1,1.639337e+04
13,10,2,1.638927e+04
13,10,3,1.588726e+04
13,10,5,5.740298e+03
13,10,10,1.505183e+03
13,10,20,5.515421e+02
13,10,30,5.515121e+02
13,10,40,5.514114e+02
13,10,50,5.487461e+02
13,10,60,5.475345e+02
13,10,70,5.475271e+02
13,10,80,5.473546e+02
13,10,90,5.471067e+02
13,10,100,5.467410e+02
13,10,1,9.995446e+02
13,10,2,9.652049e+02
13,10,3,9.633242e+02
13,10,5,9.633242e+02
13,10,10,9.588463e+02
13,10,20,9.324365e+02
13,10,30,9.278985e+02
13,10,40,9.273838e+02
13,10,50,9.273326e+02
13,10,60,9.271340e+02
13,10,70,9.270648e+02
13,10,80,9.268824e+02
13,10,90,9.263989e+02
13,10,100,9.261832e+02
13,10,1,1.653372e+06
13,10,2,8.748454e+04
13,10,3,8.748027e+04
13,10,5,5.514822e+04
13,10,10,5.574568e+03
13,10,20,1.848538e+02
13,10,30,1.748241e+02
13,10,40,1.735550e+02
13,10,50,1.735549e+02
13,10,60,1.735297e+02
13,10,70,1.730820e+02
13,10,80,1.730246e+02
13,10,90,1.730159e+02
13,10,100,1.729215e+02
13,10,1,1.587813e+06
13,10,2,1.587813e+06
13,10,3,1.587813e+06
13,10,5,1.587813e+06
13,10,10,4.211556e+03
13,10,20,4.187689e+03
13,10,30,4.183093e+03
13,10,40,4.173331e+03
13,10,50,4.167010e+03
13,10,60,4.161377e+03
13,10,70,4.161356e+03
13,10,80,4.160674e+03
13,10,90,4.156807e+03
13,10,100,4.152306e+03
13,10,1,2.188844e+04
13,10,2,2.188512e+04
13,10,3,1.963954e+04
13,10,5,1.435105e+04
13,10,10,1.435096e+04
13,10,20,1.380581e+04
13,10,30,1.365059e+04
13,10,40,1.362578e+04
13,10,50,1.362359e+04
13,10,60,1.362111e+04
13,10,70,1.362111e+04
13,10,80,1.361939e+04
13,10,90,1.361939e+04
13,10,100,1.361812e+04
